Title,Paragraph Text,Page No
SECTIONS,"103. Procedure in inquiries, appeals and revision proceedings.",4
SECTIONS,104. Power of the Committee or the B oard to amend its own orders.,4
SECTIONS,105. Juvenile justice fund.,4
SECTIONS,106. State Child Protection Society and District Child Protection Unit.,4
SECTIONS,107. Child Welfare Police Officer and Special Juvenile Police Unit.5,5
SECTIONS,108. Public awareness on provisions of Act.,5
SECTIONS,109. Monitoring of implementation of Act.,5
SECTIONS,110. Power to make rules.,5
SECTIONS,111. Repeal and savings.,5
SECTIONS,"112. Power to remove difficulties.6THE JUVENILE JUSTICE (C ARE AND PROTECTION OF CHILDREN) ACT, 2015ACT NO. 2 OF 2016[31st December,  2015 .]An Act to consolidate and amend the law relating to children alleged and found to be in conflictwith law and children in need of care and protection by catering to their basic needs throughproper care, protection, development, treatment, social re -integr ation, by adopting achild -friendly approach in the adjudication and disposal of matters in the best interest ofchildren and for their rehabilitation through processes provided, and institutions and bodiesestablished, herein under and for matters connected therewith or incidental thereto.WHEREAS , the provisions of the Constitution confer powers and impose duties, under clause ( 3)of article 15 , clauses ( e) and (f) of article 39 , article 45  and article 47 , on the State to ensure that all theneeds of chi ldren are met and that their basic human rights are fully protected;AND WHEREAS , the Government of India has acceded on the 11th December, 1992 to the Conventionon the Rights of the Child, adopted by the General Assembly of United Nations, which has pres cribed aset of standards to be adhered to by all State parties in securing the best interest of the child;AND WHEREAS , it is expedient to re -enact the Juvenile Justice (Care and Protection of Children)Act, 2000 (56 of 2000) to make compreh ensive provisions for children alleged and found to be in conflictwith law and children in need of care and protection, taking into consideration the standards prescribed inthe Convention on the Rights of the Child, the United Nations Standard Minimum Ru les for theAdministration of Juvenile Justice, 1985 (the Beijing Rules), the United Nations Rules for the Protectionof Juveniles Deprived of their Liberty (1990), the Hague Convention on Protection of Children andCo-operation in Respect of Inter -country Adoption (1993), and other related international instruments.BE it enacted by Parliament in the Sixty -sixth Year of the Republic of India as follows: —CHAPTER I",6
SECTIONS,"1. Short title, extent, commencement and application .—(1) This Ac t may be called the JuvenileJustice (Care and Protection of Children) Act, 2015.",6
SECTIONS,(2) It extends to the whole of India except the State of Jammu and Kashmir.,6
SECTIONS,"(3) It shall come into force on such date1 as the Central Government may, by notification in theOfficial Gazette, appoint.",6
SECTIONS,"(4) Notwithstanding anything contained in any other law for the time being in force, the provisions ofthis Act shall apply to all matters concerning children in need of care and protection and children inconflict with law, inclu ding —",6
SECTIONS,"(i) apprehension, detention, prosecution, penalty or imprisonment, rehabilitation and socialre-integration of children in conflict with law;",6
SECTIONS,"(ii) procedures and decisions or orders relating to rehabilitation, adoption, re-integration, andrestoration of children in need of care and protection.",6
SECTIONS,"2. Definitions .—In this Act, unless the context otherwise requires, —",6
SECTIONS,"(1) “abandoned child ” means a child deserted by his biological or adoptive parents or guardians,who has been d eclared as abandoned by the Committee after due inquiry;",6
SECTIONS,"(2) “adoption ” means the process through which the adopted child is permanently separated fromhis biological parents and becomes the lawful child of his adoptive parents with all the rights,privile ges and responsibilities that are attached to a biological child;",6
SECTIONS,"1. 15th January, 2016,  vide notification No. S .O. 110(E) , dated 1 2th January, 2016, see Gazette of India, Extraordinary, Part II,sec. 3( ii).7",7
SECTIONS,(3) “adoption regulations ” means the regulations framed by the Authority and notified by theCentral Government in respect of adoption;,7
SECTIONS,"(4) “administrator ” means any district official not be low the rank of Deputy Secretary to theState, on whom magisterial powers have been conferred;",7
SECTIONS,"(5) “aftercare ” means making provision of support, financial or otherwise, to persons, who havecompleted the age of eighteen years but have not completed the age of twenty -one years, and haveleft any institutional care to join the mainstream of the society;",7
SECTIONS,(6) “author ised foreign adoption agency ” means a foreign social or child welfare agency that isauthorised by the Central Adoption Resource Authority on the recommendation of their CentralAuthority or Government department of that country for sponsoring the applicat ion of non -residentIndian or overseas citizen of India or persons of Indian origin or foreign prospective adoptive parentsfor adoption of a child from India;,7
SECTIONS,(7) “Authority ” means the Central Adoption Resource Authority constituted under section 68;,7
SECTIONS,(8) “begging ” means —,7
SECTIONS,"(i) soliciting or receiving alms in a public place or entering into any private premises for thepurpose of soliciting or receiving alms, under any pretence;",7
SECTIONS,"(ii) exposing or exhibiting with the object of obtaining or extorting alms, any sore, wound,injury, deformity or disease, whether of himself or of any other person or of an animal;",7
SECTIONS,"(9) “best interest of child ” means the basis for any decision taken regarding the child, to ensurefulfilment of his basic rights and needs, identity, soc ial well -being and physical, emotional andintellectual development;",7
SECTIONS,(10) “Board ” means a Juvenile Justice Board constituted under section 4;,7
SECTIONS,(11) “Central Authority ” means the Government department recognised as such under the HagueConvention on Protecti on of Children and Cooperation in Inter -country Adoption (1993);,7
SECTIONS,(12) “child ” means a person who has not completed eighteen years of age;,7
SECTIONS,(13) “child in conflict with law ” means a child who is alleged or found to have committed anoffence and who has not c ompleted eighteen years of age on the date of commission of such offence;,7
SECTIONS,(14) “child in need of care and protection ” means a child —,7
SECTIONS,(i) who is found without any home or settled place of abode and without any ostensiblemeans of subsistence; or,7
SECTIONS,"(ii) who is  found working in contravention of labour laws for the time being in force or isfound begging, or living on the street; or",7
SECTIONS,(iii) who resides with a person (whether a guardian of the child or not) and such person —,7
SECTIONS,"(a) has injured, exploited, abused or negl ected the child or has violated any other law forthe time being in force meant for the protection of child; or",7
SECTIONS,"(b) has threatened to kill, injure, exploit or abuse the child and there is a reasonablelikelihood of the threat being carried out; or",7
SECTIONS,"(c) has killed, abused, neglected or exploited some other child or children and there is areasonable likelihood of the child in question being killed, abused, exploited or neglected bythat person; or",7
SECTIONS,"(iv) who is mentally ill or mentally or physically challenged or suffering from terminal orincurable disease, having no one to support or look after or having parents or guardians unfit totake care, if found so by the Board or the Committee; or8",8
SECTIONS,"(v) who has a parent or guardian and such parent or guardian is found t o be unfit orincapacitated, by the Committee or the Board, to care for and protect the safety and well -being ofthe child; or",8
SECTIONS,"(vi) who does not have parents and no one is willing to take care of, or whose parents haveabandoned or surrendered him; or",8
SECTIONS,"(vii) who is missing or run away child, or whose parents cannot be found after makingreasonable inquiry in such manner as may be prescribed; or",8
SECTIONS,"(viii) who has been or is being or is likely to be abused, tortured or exploited for the purposeof sexual abuse or  illegal acts; or",8
SECTIONS,(ix) who is found vulnerable and is likely to be inducted into drug abuse or trafficking; or,8
SECTIONS,(x) who is being or is likely to be abused for unconscionable gains; or,8
SECTIONS,"(xi) who is victim of or affected by any armed conflict, civil unrest or natural calamity; or",8
SECTIONS,"(xii) who is at imminent risk of marriage before attaining the age of marriage and whoseparents, family members, guardian and any other persons are likely to be responsible forsolemnisation of such marriage;",8
SECTIONS,"(15) “child friendly ” means any behaviour, conduct, practice, process, attitude, environment ortreatment that is humane, considerate and in the best interest of the child;",8
SECTIONS,(16) “child legally free for adoption ” means a child declared as such by the Committee aftermaking due inqu iry under section 38;,8
SECTIONS,"(17) “Child Welfare Officer ” means an officer attached to a Children ’s Home, for carrying out thedirections given by the Committee or, as the case may be, the Board with such responsibility as maybe prescribed;",8
SECTIONS,(18) “Child Welfare Police Officer ” means an officer designated as such under sub -section ( 1) ofsection 107;,8
SECTIONS,"(19) “Children ’s Home ” means a Children ’s Home, established or maintained, in every district orgroup of districts, by the State Government, either by itself, or thro ugh a voluntary ornon-governmental organisation, and is registered as such for the purposes specified in section 50;",8
SECTIONS,"(20) “Children ’s Court ” means a court established under the Commissions for Protection of ChildRights Act, 200 5 (4 of 2006) or a Special Court under the Protection of Children from SexualOffences Act, 2012 (32 of 2012), wherever existing and where such courts have not been designated,the Court of Sessions having jurisdiction to try offences under the Act;",8
SECTIONS,"(21) “child care institution ” means Children Home, open shelter, observation home, special home,place of safety, Specialised Adoption Agency and a fit facility recognised under this Act forproviding care and protection to children, who are in need of such serv ices;",8
SECTIONS,(22) “Committee ” means Child Welfare Committee constituted under section 27;,8
SECTIONS,"(23) “court ” means a civil court, which has jurisdiction in matters of adoption and guardianshipand may include the District Court, Family Court and City Civil Courts;",8
SECTIONS,"(24) “corporal punishment ” means the subjecting of a child by any person to physical punishmentthat involves the deliberate infliction of pain as retribution for an offence, or for the purpose ofdisciplining or reforming the child;",8
SECTIONS,(25) “childline services ” means a twenty -four hours emergency outreach service for children incrisis which links them to emergency or long -term care and rehabilitation service;,8
SECTIONS,"(26) “District Child Protection Unit ” means a Child Protection Unit for a District, established bythe S tate Government under section 106, which is the focal point to ensure the implementation of thisAct and other child protection measures in the district;9",9
SECTIONS,"(27) “fit facility ” means a facility being run by a governmental organisation or a registeredvoluntar y or non -governmental organisation, prepared to temporarily own the responsibility of aparticular child for a specific purpose, and such facility is recognised as fit for the said purpose, bythe Committee, as the case may be, or the Board, under sub -section (1) of section 51;",9
SECTIONS,"(28) “fit person ” means any person, prepared to own the responsibility of a child, for a specificpurpose, and such person is identified after inquiry made in this behalf and recognised as fit for thesaid purpose, by the Committee or, as the case may be, the Board, to rec eive and take care of thechild;",9
SECTIONS,"(29) “foster care ” means placement of a child, by the Committee for the purpose of alternate carein the domestic environment of a family, other than the child ’s biological family, that has beenselected, qualified, approve d and supervised for providing such care;",9
SECTIONS,(30) “foster family ” means a family found suitable by the District Child Protection Unit to keepchildren in foster care under section 44;,9
SECTIONS,"(31) “guardian ” in relation to a child, means his natural guardian or any o ther person having, inthe opinion of the Committee or, as the case may be, the Board, the actual charge of the child, andrecognised by the Committee or, as the case may be, the Board as a guardian in the course ofproceedings;",9
SECTIONS,"(32) “group foster care ” means a family like care facility for children in need of care andprotection who are without parental care, aiming on providing personalised care and fostering a senseof belonging and identity, through family like and community based solutions;",9
SECTIONS,(33) “heino us offences ” includes the offences for which the minimum punishment under theIndian Penal Code (45 of 1860) or any other law for the time being in force is imprisonment for sevenyears or more;,9
SECTIONS,(34) “inter-country adoption ” means adoption of a child from India by non -resident Indian or by aperson of Indian origin or by a foreigner;,9
SECTIONS,(35) “juvenile ” means a child below the age of eighteen years;,9
SECTIONS,"(36) “narcotic drug ” and “psychotropic substance ” shall have the meanings, respectively,assigned to them in the Narcotic Drugs and Psychotropic Substances Act, 1985 (61 of 1985);",9
SECTIONS,(37) “no objection certificate ” for inter -country adoption means a certificate issued by the CentralAdoption Resource Author ity for the said purpose;,9
SECTIONS,(38) “non-resident Indian ” means a person who holds an Indian passport and is presently residingabroad for more than one year;,9
SECTIONS,"(39) “notification ” means the notification published in the Official Gazette of India, or as the casemay be, in the Gazette of a State, and the expression “notify ” shall be construed accordingly;",9
SECTIONS,"(40) “observation home ” means an observation home established and maintained i n every districtor group of districts by a State Government, either by itself, or through a voluntary ornon-governmental organisation, and is registered as such, for the purposes specified in sub -section ( 1)of section 47;",9
SECTIONS,"(41) “open shelter ” means a facility for children, established and maintained by the StateGovernment, either by itself, or through a voluntary or non -governmental organisation undersub-section ( 1) of section 43, and registered as s uch, for the purposes specified in that section;",9
SECTIONS,(42) “orphan ” means a child —,9
SECTIONS,(i) who is without biological or adoptive parents or legal guardian; or,9
SECTIONS,"(ii) whose legal guardian is not willing to take, or capable of taking care of the child;",9
SECTIONS,"(43) “overseas citizen of India ” means a person registered as such under the CitizenshipAct, 1955 (57 of 1955);10",10
SECTIONS,"(44) “person of Indian origin ” means a person, any of whose lineal ancestors is or was an Indiannational, and who is presently holding a Person of  Indian Origin Card issued by the CentralGovernment;",10
SECTIONS,(45) “petty offences ” includes the offences for which the maximum punishment under the IndianPenal Code (45 of 1860) or any other law for the time being in force is imprisonment up to threeyears;,10
SECTIONS,"(46) “place of safety ” means any place or institution, not being a police lockup or jail, establishedseparately or attached to an observation home or a special home, as the case may be, the person in -charge of which is willing to receive and take care of the children alleged or found to be in conflictwith law, by an order of the Board or the Children ’s Court, both during inquiry and ongoingrehabilitation after having been found guilty for a period and purpose as specified in the order;",10
SECTIONS,(47) “prescribed ” mean s prescribed by rules made under this Act;,10
SECTIONS,"(48) “probation officer ” means an officer appointed by the State Government as a probationofficer under the Probation of Offenders Act, 1958 (20 of 1958 ) or the Legal -cum-Probation Officerappointed by the State Government under District Child Protection Unit;",10
SECTIONS,(49) “prospective adoptive parents ” means a person or persons eligible to adopt a child as per theprovisions of section 57;,10
SECTIONS,(50) “public place ” shall have the same meaning assigned to it in the Immoral Traf fic,10
SECTIONS,"(Prevention) Act, 1956  (104 of 1956 );",10
SECTIONS,"(51) “registered ”, with reference to child care institutions or agencies or facilities managed by theState Government, or a voluntary or non -governmental organisation, means observation homes,special homes, place  of safety, children ’s homes, open shelters or Specialised Adoption Agency or fitfacility or any other institution that may come up in response to a particular need or agencies orfacilities authorised and registered under section 41, for providing reside ntial care to children, on ashort -term or long -term basis;",10
SECTIONS,"(52) “relative ”, in relation to a child for the purpose of adoption under this Act, means a paternaluncle or aunt, or a maternal uncle or aunt, or paternal grandparent or maternal grandparent;",10
SECTIONS,(53) “State Agency ” means the State Adoption Resource Agency set up by the State Governmentfor dealing with adoption and related matters under section 67;,10
SECTIONS,"(54) “serious offences ” includes the offences for which the punishment under the Indian PenalCode (45  of 1860) or any other law for the time being in force, is imprisonment between three toseven years;",10
SECTIONS,"(55) “special juvenile police unit ” means a unit of the police force of a district or city or, as thecase may be, any other police unit like railway poli ce, dealing with children and designated as suchfor handling children under section 107;",10
SECTIONS,"(56) “special home ” means an institution established by a State Government or by a voluntary ornon-governmental organisation, registered under section 48, for housing and providing rehabilitativeservices to children in conflict with law, who are found, through inquiry, to have committed anoffence and are sent to such institution by an order of the Board;",10
SECTIONS,"(57) “Specialised Adoption Agency ” means an institution established by the State Government orby a voluntary or non -governmental organisation and recognised under section 65, for housingorphans, abandoned and surrendered children, placed there by order of the Committee, for thepurpose o f adoption;",10
SECTIONS,"(58) “sponsorship ” means provision of supplementary support, financial or otherwise, to thefamilies to meet the medical, educational and developmental needs of the child;",10
SECTIONS,"(59) “State Government ”, in relation to a Union territory, means the Adm inistrator of that Unionterritory appointed by the President under  article 239  of the Constitution;11",11
SECTIONS,"(60) “surrendered child ” means a child, who is relinquished by the parent or guardian to theCommi ttee, on account of physical, emotional and social factors beyond their control, and declared assuch by the Committee;",11
SECTIONS,(61) all words and expressions used but not defined in this Act and defined in other Acts shallhave the meanings respectively assigned to them in those Acts.CHAPTER IIGENERAL PRINCIPLES OF CARE AND PROTECTION OF CHILDREN,11
SECTIONS,"3. General principles to be followed in administration of Act .—The Central Government, the StateGovernments, the Board, and other agencies, as the case may be, while implementing the provisions ofthis Act shall be guided by the following fundamental principles, namely: —",11
SECTIONS,(i) Principle of presumption of innocence : Any child shall be presumed to be an innocent of anymala fide  or criminal intent up to the age of eighteen  years.,11
SECTIONS,(ii) Principle of dignity and worth : All human beings shall be treated with equal dignity andrights.,11
SECTIONS,(iii) Principle of participation : Every child shall have a right to be heard and to participate in allprocesses and decisions affecting his inter est and the child ’s views shall be taken into considerationwith due regard to the age and maturity of the child.,11
SECTIONS,(iv) Principle of best interest : All decisions regarding the child shall be based on the primaryconsideration that they are in the best inter est of the child and to help the child to develop fullpotential.,11
SECTIONS,"(v) Principle of family responsibility : The primary responsibility of care, nurture and protection ofthe child shall be that of the biological family or adoptive or foster parents, as the c ase may be.",11
SECTIONS,"(vi) Principle of safety : All measures shall be taken to ensure that the child is safe and is notsubjected to any harm, abuse or maltreatment while in contact with the care and protection system,and thereafter.",11
SECTIONS,"(vii) Positive measures : All re sources are to be mobilised including those of family andcommunity, for promoting the well -being, facilitating development of identity and providing aninclusive and enabling environment, to reduce vulnerabilities of children and the need for interventionunder this Act.",11
SECTIONS,(viii) Principle of non -stigmatising semantics : Adversarial or accusatory words are not to be usedin the processes pertaining to a child.,11
SECTIONS,"(ix) Principle of non -waiver of rights : No waiver of any of the right of the child is permissible orvalid, whether sought by the child or person acting on behalf of the child, or a Board or a Committeeand any non -exercise of a fundamental right shall not amount to waiver.",11
SECTIONS,"(x) Principle of equality and non -discrimination : There shall be no discriminatio n against a childon any grounds including sex, caste, ethnicity, place of birth, disability and equality of access,opportunity and treatment shall be provided to every child.",11
SECTIONS,"(xi) Principle of right to privacy and confidentiality : Every child shall have a right to protectionof his privacy and confidentiality, by all means and throughout the judicial process.",11
SECTIONS,(xii) Principle of institutionalisation as a measure of last resort : A child shall be placed ininstitutional care as a step of last resort after ma king a reasonable inquiry.,11
SECTIONS,"(xiii) Principle of repatriation and restoration : Every child in the juvenile justice system shallhave the right to be re -united with his family at the earliest and to be restored to the same socio -economic and cultural status t hat he was in, before coming under the purview of this Act, unless suchrestoration and repatriation is not in his best interest.12",12
SECTIONS,(xiv) Principle of fresh sta rt: All past records of any child under the Juvenile Justice systemshould be erased except in spe cial circumstances.,12
SECTIONS,(xv) Principle of diversion : Measures for dealing with children in conflict with law withoutresorting to judicial proceedings shall be promoted unless it is in the best interest of the child or thesociety as a whole.,12
SECTIONS,"(xvi) Principles of natural justice : Basic procedural standards of fairness shall be adhered to,including the right to a fair hearing, rule against bias and the right to review, by all persons or bodies,acting in a judicial capacity under this Act.CHAPTER IIIJUVENILE  JUSTICE  BOARD",12
SECTIONS,"4. Juvenile Justice Board .—(1) Notwithstanding anything contained in the Code of CriminalProcedure, 1973 (2 of 1974), the State Government shall, constitute for every district, one or moreJuvenile Justice Boards for exercising the powers and  discharging its functions relating to children inconflict with law under this Act.",12
SECTIONS,"(2) A Board shall consist of a Metropolitan Magistrate or a Judicial Magistrate of First Class notbeing Chief Metropolitan Magistrate or Chief Judicial Magistrate (herein after referred to as PrincipalMagistrate) with at least three years experience and two social workers selected in such manner as may beprescribed, of whom at least one shall be a woman, forming a Bench and every such Bench shall have thepowers conferred  by the Code of Criminal Procedure, 1973 (2 of 1974) on a Metropolitan Magistrate or,as the case may be, a Judicial Magistrate of First Class.",12
SECTIONS,"(3) No social worker shall be appointed as a member of the Board unless such person has beenactively involved i n health, education, or welfare activities pertaining to children for atleast seven years ora practicing professional with a degree in child psychology, psychiatry, sociology or law.",12
SECTIONS,"(4) No person shall be eligible for selection as a member of the Board, if he—",12
SECTIONS,(i) has any past record of violation of human rights or child rights;,12
SECTIONS,"(ii) has been convicted of an offence involving moral turpitude, and such conviction has not beenreversed or has not been granted full pardon in respect of such offence;",12
SECTIONS,(iii) has been removed or dismissed from service of the Central Government or a StateGovernment or an undertaking or corporation owned or controlled by the Central Government or aState Government;,12
SECTIONS,(iv) has ever indulged in child abuse or employment of child labo ur or any other violation ofhuman rights or immoral act.,12
SECTIONS,"(5) The State Government shall ensure that induction training and sensitisation of all membersincluding Principal Magistrate of the Board on care, protection, rehabilitation, legal provisions and j usticefor children, as may be prescribed, is provided within a period of sixty days from the date of appointment.",12
SECTIONS,"(6) The term of office of the members of the Board and the manner in which such member may resignshall be such, as may be prescribed.",12
SECTIONS,"(7) The appointment of any member of the Board, except the Principal Magistrate, may be terminatedafter holding an inquiry by the State Government, if he —",12
SECTIONS,(i) has been found guilty of misuse of power vested under this Act; or,12
SECTIONS,(ii) fails to attend the proceeding s of the Board consecutively for three months without any validreason; or,12
SECTIONS,(iii) fails to attend less than three -fourths of the sittings in a year; or,12
SECTIONS,(iv) becomes ineligible under sub -section ( 4) during his term as a member.13,13
SECTIONS,"5. Placement of person, who cease to be a child during process of inquiry .—Where an inquiry hasbeen initiated in respect of any child under this Act, and during the course of such inquiry, the childcompletes the age of eighteen years, then, notwithstanding  anything contained in this Act or in any otherlaw for the time being in force, the inquiry may be continued by the Board and orders may be passed inrespect of such person as if such person had continued to be a child.",13
SECTIONS,"6. Placement of persons, who commit ted an offence, when person was below the age of eighteenyears .—(1) Any person, who has completed eighteen years of age, and is apprehended for committing anoffence when he was below the age of eighteen years, then, such person shall, subject to the prov isions ofthis section, be treated as a child during the process of inquiry.",13
SECTIONS,"(2) The person referred to in sub -section ( 1), if not released on bail by the Board shall be placed in aplace of safety during the process of inquiry.",13
SECTIONS,(3) The person referred to in sub -section ( 1) shall be treated as per the procedure specified under theprovisions of this Act.,13
SECTIONS,"7. Procedure in relation to Board .—(1) The Board shall meet at such times and shall observe suchrules in regard to the transaction of business at its meet ings, as may be prescribed and shall ensure that allprocedures are child friendly and that the venue is not intimidating to the child and does not resemble asregular courts.",13
SECTIONS,"(2) A child in conflict with law may be produced before an individual member of the Board, when theBoard is not in sitting.",13
SECTIONS,"(3) A Board may act notwithstanding the absence of any member of the Board, and no order passedby the Board shall be invalid by the reason only of the absence of any member during any stage ofproceedings:Prov ided that there shall be atleast two members including the Principal Magistrate present at the timeof final disposal of the case or in making an order under sub -section ( 3) of section 18.",13
SECTIONS,"(4) In the event of any difference of opinion among the members of the Board in the interim or finaldisposal, the opinion of the majority shall prevail, but where there is no such majority, the opinion of thePrincipal Magistrate, shall prevail.",13
SECTIONS,"8. Powers, functions and responsibilities of the Board .—(1) Notwithstanding anything contained inany other law for the time being in force but save as otherwise expressly provided in this Act, the Boardconstituted for any district shall have the power to deal exclusively with all the proceedings under thisAct, relating to child ren in conflict with law, in the area of jurisdiction of such Board.",13
SECTIONS,"(2) The powers conferred on the Board by or under this Act may also be exercised by the High Courtand the Children ’s Court, when the proceedings come before them under section 19 or in a ppeal, revisionor otherwise.",13
SECTIONS,(3) The functions and responsibilities of the Board shall include —,13
SECTIONS,"(a) ensuring the informed participation of the child and the parent or guardian, in every step of theprocess;",13
SECTIONS,"(b) ensuring that the child ’s rights are protected throughout the process of apprehending the child,inquiry, aftercare and rehabilitation;",13
SECTIONS,(c) ensuring availability of legal aid for the child through the legal services institutions;,13
SECTIONS,"(d) wherever necessary the Board shall provide an interpreter o r translator, having suchqualifications, experience, and on payment of such fees as may be prescribed, to the child if he fails tounderstand the language used in the proceedings;",13
SECTIONS,"(e) directing the Probation Officer, or in case a Probation Officer is not available to the ChildWelfare Officer or a social worker, to undertake a social investigation into the case and submit asocial investigation report within a period of fifteen days from the date of first production before theBoard to ascertain the circum stances in which the alleged offence was committed;14",14
