,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
10,10,10,PRELIMINARY,"goods, materials, perishable or non-perishable provisions, bunker fuel, equipment (includingcontainers), supplied or services rendered to the vessel for its operation, management, preservation or maintenance including any fee payable or leviable;(m)) construction, reconstruction, repair, converting or equipping of the vessel;(n)) dues in connection with any port, harbour, canal, dock or light tolls, other tolls, waterway or any charges of similar kind chargeable under any law for the time being in force;(o)) claim by amaster or member of the crew",3
11,11,11,PRELIMINARY,"of avessel or their heirs and dependents for wages or any sum due out of wages or adjudged to be due which may be recoverable as wages or cost of repatriation or social insurance contribution payable on their behalf or any amount an employer isunder an obligation to pay to aperson as an employee, whether the obligation arose out of acontract of employment or by operation of alaw (including operation of alaw of any country) for the time being in force, and includes any claim arising under amanning and crew agreement relating to avessel,",3
12,12,12,PRELIMINARY,"notwithstanding anything contained in the provisions of sections 150 and 151 of the Merchant Shipping Act, 1958 (44 of 1958);(p)) disbursements incurred on behalf of the vessel or its owners;(q)) particular average or general average;4((r)) dispute arising out of acontract for the sale of the vessel;(s)) insurance premium (including mutual insurance calls) in respect of the vessel, payable by or on behalf of the vessel owners or demise charterers;(t)) commission, brokerage or agency fees payable in respect of the vessel by or on behalf of the vessel",3
13,13,13,PRELIMINARY,"owner or demise charterer;(u)) damage or threat of damage caused by the vessel to the environment, coastline or relatedinterests; measures taken to prevent, minimise, or remove such damage; compensation for suchdamage; costs of reasonable measures for the restoration of the environment actually undertaken or to be undertaken; loss incurred or likely to be incurred by third parties in connection with such damage; or any other damage, costs, or loss of asimilar nature to those identified in this clause;(v)) costs or expenses relating to raising,",3
14,14,14,PRELIMINARY,"removal, recovery, destruction or the rendering harmless ofa vessel which is sunk, wrecked, stranded or abandoned, including anything that is or has been on board such vessel, and costs or expenses relating to the preservation of an abandoned vessel and maintenance of its crew; and( w)) maritime lien.Explanation. —For the purposes of clause ( q)), the expressions “particular average” and “generalaverage” shall have the same meanings as assigned to them in sub-section ( 1)) of section 64 andsub-section ( 2)) of section 66 respectively of the Marine",3
15,15,15,PRELIMINARY,"Insurance Act, 1963 (11 of 1963).(2)) While exercising jurisdiction under sub-section ( 1)), the High Court may settle any account outstanding and unsettled between the parties in relation to avessel, and direct that the vessel, or any share thereof, shall be sold, or make such other order as it may think fit.(3)) Where the High Court orders any vessel to be sold, it may hear and determine any question arising as to the title to the proceeds of the sale.(4)) Any vessel ordered to be arrested or any proceeds of avessel on sale under this Act shall be held as security against any claim pending final outcome of the admiralty proceeding.",3
16,16,16,PRELIMINARY,"5.. Arrest of vessel in rem.—(1)) The High Court may order arrest of any vessel which is within its jurisdiction for the purpose of providing security against amaritime claim which is the subject of an admiralty proceeding, where the court has reason to believe that—(a)) the person who owned the vessel at the time when the maritime claim arose is liable for the claim and is the owner of the vessel when the arrest is effected; or(b)) the demise charterer of the vessel at the time when the maritime claim arose is liable for the claim and is the demise",4
17,17,17,PRELIMINARY,"charterer or the owner of the vessel when the arrest is effected; or(c)) the claim is based on amortgage or acharge of the similar nature on the vessel; or(d)) the claim relates to the ownership or possession of the vessel; or(e)) the claim is against the owner, demise charterer, manager or operator of the vessel and is secured by amaritime lien as provided in section 9..(2)) The High Court may also order arrest of any other vessel for the purpose of providing security against amaritime claim, in lieu of the vessel against which amaritime claim",4
18,18,18,PRELIMINARY,"has been made under thisAct, subject to the provisions of sub-section ( 1)):Provided that no vessel shall be arrested under this sub-section in respect of amaritime claim under clause ( a)) of sub-section ( 1)) of section 4..",4
19,19,19,PRELIMINARY,"6.. Admiralty jurisdiction inpersonam .—Subject to section 7,, the High Court may exercise admiralty jurisdiction by action in person am in respect of any maritime claim referred to in clauses ( a)) to(w)) of sub-section ( 1)) of section 4..",4
20,20,20,PRELIMINARY,"7.. Restrictions on actions in person am in certain cases.— (1)) Where any maritime claim arising in respect of adamage or loss of life or personal injury arising out of any—(i)) collision between vessels,(ii) the carrying out of or omission to carry out, aman oeuvre in the case of one or more vessels,5((iii) non-compliance, on the part of one or more vessels, with the collision regulations made in pursuance of section 285 of the Merchant Shipping Act, 1958 (44 of 1958),the High Court shall not entertain any action under this section against any",4
21,21,21,PRELIMINARY,"defendant unless—(a)) the cause of action, wholly or in part, arises in India; or(b)) the defendant, at the time of commencement of the action by the High Court, actually and voluntarily resides or carries on business or personally works for gain in India:Provided that an action may be entertained in acase, where there are more defendants than one and where one of the defendants who does not actually and voluntarily reside or carry on business or personally work for gain in India is made aparty to such action either with the leave of the court,",4
22,22,22,PRELIMINARY,oreach of the defendants acquiesces in such action.(2)) The High Court shall not entertain any action in person am to enforce aclaim to which this section applies until any proceedings previously brought by the plaintiff in any court outside India against the same defendant in respect of the same incident or series of incidents have been discontinued or have otherwise come to an end.(3)) The provisions of sub-section ( 2)) shall apply to counter-claims as they apply to actions exceptcounter-claims in proceedings arising out of the same incident or,4
23,23,23,PRELIMINARY,"series of incidents.(4)) Areference to the plaintiff and the defendant for the purpose of sub-section ( 3)) shall be construed as reference to the plaintiff in the counter-claim and the defendant in the counter-claim respectively.(5)) The provisions of sub-sections ( 2)) and ( 3)) shall not apply to any action or counter-claim if the defendant submits or agrees to submit to the jurisdiction of the High Court.(6)) Subject to the provisions of sub-section ( 2)), the High Court shall have jurisdiction to entertain an action in person am to enforce aclaim",4
24,24,24,PRELIMINARY,"to which this section applies whenever any of the conditionsspecified, in clauses ( a)) and ( b)) of sub-section ( 1)) is satisfied and any law for the time being in force relating to the service of process outside the jurisdiction shall apply.",4
25,25,25,PRELIMINARY,"8.. Vesting of rights on sale of vessels .—On the sale of avessel under this Act by the High Court in exercise of its admiralty jurisdiction, the vessel shall vest in the purchaser free from all encumbrances,liens, attachments, registered mortgages and charges of the same nature on the vessel.",5
26,26,26,PRELIMINARY,"9.. Inter sepriority on maritime lien.— (1)) Every maritime lien shall have the following order of inter sepriority, namely(a)) claims for wages and other sums due to the master, officers and other members of the vessel'scomplement in respect of their employment on the vessel, including costs of repatriation and social insurance contributions payable on their behalf;(b)) claims in respect of loss of life or personal injury occurring, whether on land or on water, indirect connection with the operation of the vessel;(c)) claims for reward for",5
27,27,27,PRELIMINARY,"salvage services including special compensation relating thereto;(d)) claims for port, canal, and other waterway dues and pilotage dues and any other statutory dues related to the vessel;(e)) claims based on tort arising out of loss or damage caused by the operation of the vessel other than loss or damage to cargo and containers carried on the vessel.(2)) The maritime lien specified in sub-section (1)) shall continue to exist on the vessel notwithstanding any change of ownership or of registration or of flag and shall be extinguished after expiry of",5
28,28,28,PRELIMINARY,"aperiod of one yearunless, prior to the expiry of such period, the vessel has been arrested or seized and such arrest or seizure has led to aforced sale by the High Court:Provided that for aclaim under clause ( a)) of sub-section ( 1)), the period shall be two years from the date on which the wage, sum, cost of repatriation or social insurance contribution, falls due or becomespayable.6((3)) The maritime lien referred to in this section shall commence—(a)) in relation to the maritime lien under clause ( a)) of sub-section ( 1)), upon the",5
29,29,29,PRELIMINARY,"claimant'sdischarge from the vessel;(b)) in relation to the maritime liens under clauses ( b)) to ( e)) of sub-section ( 1)), when the claimarises,and shall run continuously without any suspension or interruption:Provided that the period during which the vessel was under arrest or seizure shall be excluded.(4)) No maritime lien shall attach to avessel to secure aclaim which arises out of or results from—(a)) damage in connection with the carriage of oil or other hazardous or noxious substances by sea for which compensation is payable to the",5
30,30,30,PRELIMINARY,"claimants pursuant to any law for the time being in force;(b)) the radioactive properties or acombination of radioactive properties with toxic, explosive or other hazardous properties of nuclear fuel or of radioactive products or waste.",5
31,31,31,PRELIMINARY,"10. Order of priority of maritime claims.— (1)) The order of maritime claims determining the inter sepriority in an admiralty proceeding shall be as follows:—(a)) aclaim on the vessel where there is amaritime lien;(b)) registered mortgages and charges of same nature on the vessel;(c)) all other claims.(2)) The following principles shall apply in determining the priority of claims inter se——(a)) if there are more claims than one in any single category of priority, they shall rank equally;(b)) claims for various salvages shall rank in inverse order of time when the claims theretoaccrue.",6
32,32,32,PRELIMINARY,"11. Protection of owner, demise charterer, manager or operator or crew of vesselarrested.— (1)) The High Court may, as acondition of arrest of avessel, or for permitting an arrest already effected to be maintained, impose upon the claimant who seeks to arrest or who has procured the arrest of the vessel, an obligation to provide an unconditional undertaking to pay such sums of money as damages or such security of akind for an amount and upon such terms as may be determined by the HighCourt, for any loss or damage which may be incurred by the",6
33,33,33,PRELIMINARY,"defendant as aresult of the arrest, and for which the claimant may be found liable, including but not restricted to the following, namely:—(a)) the arrest having been wrongful or unjustified; or(b)) excessive security having been demanded and provided.(2)) Where pursuant to sub-section ( 1)), the person providing the security may at any time, apply to the High Court to have the security reduced, modified or cancelled for sufficient reasons as may be stated in the application.(3)) If the owner or demise charterer abandons the vessel after its arrest,",6
34,34,34,PRELIMINARY,"the High Court shall cause the vessel to be auctioned and the proceeds appropriated and dealt with in such manner as the court may deem fit within aperiod of forty-five days from the date of arrest or abandonment:Provided that the High Court shall, for reasons to be recorded in writing, extend the period of auction of the vessel for afurther period of thirty days.CHAPTER IIIPROCEDURE AND APPEALS12.Application of Code of Civil Procedure.— The provisions of the Code of Civil Procedure, 1908(5of 1908) shall apply in all the proceedings before the High Court in so far as they are not inconsistent with or contrary to the provisions of this Act or the rules made thereunder.",6
35,35,35,PRELIMINARY,"13. Assistance of assessors.— (1)) Notwithstanding anything contained in any other law for the time being in force, the Central Government shall appoint by notification, alist of assessors with such qualifications and experience in admiralty and maritime matters, the nature of duties to be performed bythem, the fees to be paid to them and other ancillary or incidental matters for the purposes of this Act, in the manner as may be prescribed.7((2)) The appointment of assessors shall not be construed as abar to the examination of expert witnesses by any of the parties in any admiralty proceeding.",6
36,36,36,PRELIMINARY,"14. Appeal.— Notwithstanding anything contained in any other law for the time being in force, an appeal shall lie from any judgment, decree or final order or interim order of asingle Judge of the High Court under this Act to aDivision Bench of the High Court.",7
37,37,37,PRELIMINARY,"15. Transfer of proceedings by Supreme Court.— The Supreme Court may on an application of anyparty, transfer, at any stage, any admiralty proceeding from one High Court to any other High Court and the latter High Court shall proceed to try, hear and determine the matter from the stage at which it stood at the time of transfer:Provided that no such proceeding shall be transferred unless parties to the proceeding have been give nan opportunity of being heard in the matter.CHAPTER IV",7
38,38,38,PRELIMINARY,"16. Power to make rules.— (1)) The Central Government may, by notification in the Official Gazette,make rules for carrying out the purposes of this Act.(2)) In particular, and without prejudice to the generality of the foregoing power, the rules may provide for all or any of the following matters, namely:—(a)) the qualification, experience, nature of duties and fee to be paid to the assessors and other ancillary or incidental matters under sub-section ( 1)) of section 13;(b)) the practice and procedure of admiralty jurisdiction under this Act",7
39,39,39,PRELIMINARY,"including fees, costs and expenses in such proceedings; and(c)) any other matter which is required to be, or may be, prescribed.(3)) Until rules are made under sub-section ( 2)) by the Central Government, all rules for the time being in force governing the exercise of admiralty jurisdiction in the High Courts shall be applicable.(4)) Every rule made under this Act shall be laid, as soon as may be after the rule is made, or notification issued before each House of Parliament while it is in session for atotal period of thirty days comprised in one",7
40,40,40,PRELIMINARY,"session or in two or more successive sessions and if, before the expiry of the session immediately following the session or the successive sessions aforesaid both Houses agree in making any modification in the rule or notification or both Houses agree that the rule or notification should not be made or issued, the rule or notification shall thereafter have effect, only in such modified form or be of noeffect, as the case may be; so, however, that any such modification or annulment shall be without prejudice to the validity of anything previously done under that rule or notification.",7
41,41,41,PRELIMINARY,"17. Repeal and savings.— (1)) The application in India of the following enactments are herebyrepealed—(a)) the Admiralty Court Act, 1840 (3and 4Vict., c.. 65);(b)) the Admiralty Court Act, 1861 (24 and 25 Vict., c.. 10);(c)) the Colonial Courts of Admiralty Act, 1890 (53 and 54 vict., c.. 27);(d)) the Colonial Courts of Admiralty (India) Act, 1891 (16 of 1891); and(e)) the provisions of the Letters Patent, 1865 in so far as they apply to the admiralty jurisdiction of the Bombay, Calcutta and Madras High Courts.(2)) Notwithstanding the repeal, all",7
42,42,42,PRELIMINARY,"admiralty proceedings pending in any High Court immediately before the commencement of this Act shall continue to be adjudicated by such court in accordance with the provisions of this Act.(3)) Anything done or any action taken, under the provisions of the repealed enactments, shall in so far as such thing or action is not inconsistent with the provisions of this Act, be deemed to have been done or taken under the corresponding provisions of the Act as if the said provisions were in force when such thing was done or such action was taken and shall",7
43,43,43,PRELIMINARY,"continue to be in force accordingly until superseded by anything done or any action taken under this Act or rules made thereunder.8((4)) Any rule, regulation, bye-law made or order or notice issued under the repealed enactments, shall so far as it is not inconsistent with the provisions of this Act or rules made thereunder be deemed to have been done or taken under the corresponding provisions of this Act.",7
44,44,44,PRELIMINARY,"18. Power to remove difficulties. —(1)) If any difficulty arises in giving effect to the provisions of thisAct, the Central Government may, by order published in the Official Gazette, make such provisions, not inconsistent with the provisions of this Act as may appear to it to be necessary for removing the difficulty:Provided that no such order shall be made after the expiry of aperiod of three years from the date of commencement of this Act.(2)) Every order made under this section shall be laid, as soon as may be after it is made, before each House of Parliament.",8
