,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
16,16,16,,"total base year revenue of the State, subject to such conditions as may be prescribed.(4)) The Acts of the Central Government and State Governments under which the specific taxes are being subsumed into the goods and services tax shall be such as may be notified.(5)) The base year revenue shall be calculated as per sub-sections ( 1)), (2)), (3)) and ( 4)) on the basis of the figures of revenue collected and net of refunds given in that year, as audited by the Comptroller andAuditor-General of India.(6)) In respect of any State, if any part of revenues",3
17,17,17,,"mentioned in sub-sections ( 1)), (2)), (3)) and ( 4)) are not credited in the Consolidated Fund of the respective State, the same shall be included in the total base year revenue of the State, subject to such conditions as may be prescribed.",3
18,18,18,,"6.. Projected revenue for any year .—The projected revenue for any year in aState shall be calculated by applying the projected growth rate over the base year revenue of that State.Illustration. —If the base year revenue for 2015-16 for aconcerned State, calculated as per section 5is one hundred rupees, then the projected revenue for financial year 2018-19 shall be as follows—Projected Revenue for 2018-19=100 (1++14/100)3..",4
19,19,19,,"7.. Calculation and release of compensation .––(1)) The compensation under this Act shall be payable to any State during the transition period.(2)) The compensation payable to aState shall be provisionally calculated and released at the end of every two months period, and shall be finally calculated for every financial year after the receipt of final revenue figures, as audited by the Comptroller and Auditor-General of India:Provided that in case any excess amount has been released as compensation to aState in any financial year during the",4
20,20,20,,"transition period, as per the audited figures of revenue collected, the excess amount so released shall be adjusted against the compensation amount payable to such State in the subsequent financialyear.(3)) The total compensation payable for any financial year during the transition period to any State shall be calculated in the following manner, namely:––(a)) the projected revenue for any financial year during the transition period, which could have accrued to aState in the absence of the goods and services tax, shall be calculated as per section",4
21,21,21,,"6;;(b)) the actual revenue collected by aState in any financial year during the transition period shallbe—(i)) the actual revenue from State tax collected by the State, net of refunds given by the said State under Chapters XI and XXof the State Goods and Services Tax Act;(ii) the integrated goods and services tax apportioned to that State; and5 (iii) any collection of taxes on account of the taxes levied by the respective State under the Acts specified in sub-section ( 4)) of section 5,, net of refund of such taxes,as certified by the Comptroller",4
22,22,22,,"and Auditor-General of India;(c)) the total compensation payable in any financial year shall be the difference between the projected revenue for any financial year and the actual revenue collected by aState referred to in clause ( b)).(4)) The loss of revenue at the end of every two months period in any year for aState during the transition period shall be calculated, at the end of the said period, in the following manner, namely:––(a)) the projected revenue that could have been earned by the State in absence of the goods and services tax till the",4
23,23,23,,"end of the relevant two months period of the respective financial year shall be calculated on apro-rata basis as apercentage of the total projected revenue for any financial year during the transition period, calculated in accordance with section 6..Illustration.— If the projected revenue for any year calculated in accordance with section 6is one hundred rupees, for calculating the projected revenue that could be earned till the end of the period often months for the purpose of this sub-section shall be 100x(5//6)) = Rs. 83.33;(b)) the actual",4
24,24,24,,"revenue collected by aState till the end of relevant two months period in any financial year during the transition period shall be—(i)) the actual revenue from State tax collected by the State, net of refunds given by the State under Chapters XI and XXof the State Goods and Services Tax Act;(ii) the integrated goods and services tax apportioned to that State, as certified by the Principal Chief Controller of Accounts of the 1[[Central Board of Indirect Taxes and Customs];and(iii) any collection of taxes levied by the said State, under the Acts",4
25,25,25,,"specified insub-section ( 4)) of section 5,, net of refund of such taxes;(c)) the provisional compensation payable to any State at the end of the relevant two months period in any financial year shall be the difference between the projected revenue till the end of the relevant period in accordance with clause ( a)) and the actual revenue collected by aState in the said period as referred to in clause ( b)), reduced by the provisional compensation paid to aState till the end of the previous two months period in the said financial year during the",4
26,26,26,,"transition period.(5)) In case of any difference between the final compensation amount payable to aState calculated in accordance with the provisions of sub-section ( 3)) upon receipt of the audited revenue figures from the Comptroller and Auditor-General of India, and the total provisional compensation amount released to aState in the said financial year in accordance with the provisions of sub-section ( 4)), the same shall be adjusted against release of compensation to the State in the subsequent financial year.(6)) Where no compensation is due",4
27,27,27,,"to be released in any financial year, and in case any excess amount has been released to aState in the previous year, this amount shall be refunded by the State to the Central Government and such amount shall be credited to the Fund in such manner as may be prescribed.",4
28,28,28,,"8.. Levy and collection of cess .—(1)) There shall be levied acess on such intra-State supplies of goods or services or both, as provided for in section 9of the Central Goods and Services Tax Act, and such inter-State supplies of goods or services or both as provided for in section 5of the Integrated Goods and Services Tax Act, and collected in such manner as may be prescribed, on the recommendations of the Council, for the purposes of providing compensation to the States for loss of revenue arising on account of implementation of the goods and",5
29,29,29,,"services tax with effect from the date from which the provisions of the Central Goods and Services Tax Act is brought into force, for aperiod of five years or for such period as may be prescribed on the recommendations of the Council:Provided that no such cess shall be leviable on supplies made by ataxable person who has decided to opt for composition levy under section 10 of the Central Goods and Services Tax Act.",5
30,30,30,,"1.. Subs. by Act 34 of 2018, s.. 2for the words “Central Board of Excise and Customs” (w..e..f.. 1--2--2019).6((2)) The cess shall be levied on such supplies of goods and services as are specified in column (2)) of the Schedule, on the basis of value, quantity or on such basis at such rate not exceeding the rate set for thin the corresponding entry in column (4)) of the Schedule, as the Central Government may, on the recommendations of the Council, by notification in the Official Gazette, specify:Provided that where the cess is chargeable on any supply of",5
31,31,31,,"goods or services or both with reference to their value, for each such supply the value shall be determined under section 15 of the Central Good sand Services Tax Act for all intra-State and inter-State supplies of goods or services or both:Provided further that the cess on goods imported into India shall be levied and collected in accordance with the provisions of section 3of the Customs Tariff Act, 1975 (51 of 1975), at the point when duties of customs are levied on the said goods under section 12 of the Customs Act, 1962(52 of 1962), on avalue determined under the Customs Tariff Act, 1975.",5
32,32,32,,"9.. Returns, payments and refunds .—(1)) Every taxable person, making ataxable supply of goods or services or both, shall—(a)) pay the amount of cess as payable under this Act in such manner;(b)) furnish such returns in such forms, along with the returns to be filed under the Central Good sand Services Tax Act; and(c)) apply for refunds of such cess paid in such form,as may be prescribed.(2)) For all purposes of furnishing of returns and claiming refunds, except for the form to be filed, the provisions of the Central Goods and Services Tax Act and the",6
33,33,33,,"rules made thereunder, shall, as far as maybe, apply in relation to the levy and collection of the cess leviable under section 8on all taxable supplies of goods or services or both, as they apply in relation to the levy and collection of central tax on such supplies under the said Act or the rules made thereunder.",6
34,34,34,,"10. Crediting proceeds of cess to Fund .—(1)) The proceeds of the cess leviable under section 8and such other amounts as may be recommended by the Council, shall be credited to anon-lapsable Fund known as the Goods and Services Tax Compensation Fund, which shall form part of the public account of India and shall be utilised for purposes specified in the said section.(2)) All amounts payable to the States under section 7shall be paid out of the Fund.(3)) Fifty per cent. of the amount remaining unutilised in the Fund at the end of the transition",6
35,35,35,,"period shall be transferred to the Consolidated Fund of India as the share of Centre, and the balance fifty per cent. shall be distributed amongst the States in the ratio of their total revenues from the State tax or the Union territory goods and services tax, as the case may be, in the last year of the transition period.1[[(3A) Notwithstanding anything contained in sub-section ( 3)), fifty per cent. of such amount, as maybe recommended by the Council, which remains unutilised in the Fund, at any point of time in any financial year during the",6
36,36,36,,"transition period shall be transferred to the Consolidated Fund of India as the share of Centre, and the balance fifty per cent. shall be distributed amongst the States in the ratio of their base year revenue determined in accordance with the provisions of section 5::Provided that in case of shortfall in the amount collected in the Fund against the requirement of compensation to be released under section 7for any two months’ period, fifty per cent. of the same, but not exceeding the total amount transferred to the Cent re and the States as",6
37,37,37,,"recommended by the Council,shall be recovered from the Cent re and the balance fifty per cent. from the States in the ratio of their base year revenue determined in accordance with the provisions of section 5..](4)) The accounts relating to Fund shall be audited by the Comptroller and Auditor-General of India or any person appointed by him at such intervals as may be specified by him and any expenditure in connection with such audit shall be payable by the Central Government to the Comptroller andAuditor-General of India.",6
38,38,38,,"1.. Ins. by Act 34 of 2018, s.. 3((w..e..f.. 1--2--2019).7((5)) The accounts of the Fund, as certified by the Comptroller and Auditor-General of India or any other person appointed by him in this behalf together with the audit report thereon shall be laid before each House of Parliament.",6
39,39,39,,"11. Other provisions relating to cess. —(1)) The provisions of the Central Goods and Services Tax Act,and the rules made thereunder, including those relating to assessment, input tax credit, non-levy, short-levy,interest, appeals, of fences and penalties, shall, as far as may be, mutatis mutandis , apply, in relation to the levy and collection of the cess leviable under section 8on the intra-State supply of goods and services, as they apply in relation to the levy and collection of central tax on such intra-State supplies under the said Actor the",7
40,40,40,,"rules made thereunder.(2)) The provisions of the Integrated Goods and Services Tax Act, and the rules made thereunder,including those relating to assessment, input tax credit, non-levy, short-levy, interest, appeals, of fences andpenalties, shall, mutatis mutandis , apply in relation to the levy and collection of the cess leviable under section 8on the inter-State supply of goods and services, as they apply in relation to the levy and collection of integrated tax on such inter-State supplies under the said Act or the rules made",7
41,41,41,,"thereunder:Provided that the input tax credit in respect of cess on supply of goods and services leviable under section 8,, shall be utilised only towards payment of said cess on supply of goods and services leviable under the said section.",7
42,42,42,,"12. Power to make rules. —(1)) The Central Government shall, on the recommendations of theCouncil, by notification in the Official Gazette, make rules for carrying out the provisions of this Act.(2)) In particular, and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, namely:—(a)) the conditions which were included in the total base year revenue of the States, referred to insub-clause ( g)) of clause (4)) of article 279A of the Constitution, under sub-section ( 3)) of section",7
43,43,43,,"5;;(b)) the conditions subject to which any part of revenues not credited in the Consolidated Fund of the respective State shall be included in the total base year revenue of the State, under sub-section ( 6))of section 5;;(c)) the manner of refund of compensation by the States to the Central Government undersub-section ( 6)) of section 7;;(d)) the manner of levy and collection of cess and the period of its imposition undersub-section ( 1)) of section 8;;(e)) the manner and forms for payment of cess, furnishing of returns and refund of cess",7
44,44,44,,"undersub-section ( 1)) of section 9;; and(f)) any other matter which is to be, or may be, prescribed, or in respect of which provision is to bemade, by rules.",7
45,45,45,,"13. Laying of rules before Parliament .—Every rule made under this Act by the Central Government shall be laid, as soon as may be after it is made, before each House of Parliament, while it is in session, fora total period of thirty days which may be comprised in one session or in two or more successive sessions,and if, before the expiry of the session immediately following the session or the successive sessionsaforesaid, both Houses agree in making any modification in the rule or both Houses agree that the rule should not be made, the rule",7
46,46,46,,"shall thereafter have effect only in such modified form or be of no effect, as the case may be; so, however, that any such modification or annulment shall be without prejudice to the validity of anything previously done under that rule.",7
47,47,47,,"14. Power to remove difficulties. —(1)) If any difficulty arises in giving effect to the provisions of thisAct, the Central Government may, on the recommendations of the Council, by order published in the OfficialGazette, make such provisions, not inconsistent with the provisions of this Act, as appear to it to be necessary or expedient for removing the difficulty:Provided that no order shall be made under this section after the expiry of three years from the commencement of this Act.(2)) Every order made under this section shall, as soon as may be after it is made, be laid before each House of Parliament.8THE SCHEDULE[See section 8(( 2))]",7
48,48,48,,"1.. In this Schedule, reference to a““tariff item”, “heading”, “sub-heading” and “Chapter”, wherever they occur, shall mean respectively atariff item, heading, sub-heading and Chapter in the First Schedule to the Customs Tariff Act, 1975 (51 of 1975).",8
49,49,49,,"2.. The rules for the interpretation of the First Schedule to the Customs Tariff Act, 1975 (51 of 1975),the section and Chapter Notes and the General Explanatory Notes of the First Schedule shall, so far as may be, apply to the interpretation of this Schedule.S.. No. Description of supply of goods or services Tariff item, heading,sub-heading, Chapter, or supply of goods orservices, as the case maybe The maximum rate at which goods and services tax compensation cess may be collected(1)) (2)) (3)) (4))",8
50,50,50,,1.. Pan Masala. 2106 90 20 One hundred andthirty-five per cent.ad valor em .,8
51,51,51,,"2.. Tobacco and manufactured tobaccosubstitutes, including tobaccoproducts. 24 Four thousand one hundred and seventy rupees per thousand sticks or two hundred and ninety per cent. ad valor em or acombination thereof, but not exceeding four thousand one hundred and seventy rupees per thousand sticks plus two hundred and ninetypercent. ad valorem.",8
52,52,52,,"3.. Coal, briquettes, ovoids and similar solid fuels manufactured from coal,lignite, whether or not agglomerated,excluding jet, peat (including peatlitter), whether or not agglomerated.2701, 2702 or 2703 Four hundred rupees pertonne.",8
53,53,53,,"4.. Aerated waters. 2202 10 10 Fifteen per cent.ad valorem.1[[4A. Motor vehicles for the transport of not more than thirteen persons, including the driver.8702 10, 8702 20, 870230 or 8702 90 Twenty-five per cent. advalorem. ]",8
54,54,54,,"5.. Motor cars and other motor vehicles principally designed for the transport of persons (other than motor vehicles for the transport of ten or morepersons, including the driver),including station wagons and racingcars.8703 2[[Twenty-five per cent.ad valorem. ]",8
55,55,55,,6.. Any other supplies. Fifteen per cent.advalorem.,8
56,56,56,,"1.. Ins. by Act 9of 2018, s.. 2((w..e..f.. 2--9--2017).",8
57,57,57,,"2.. Subs. by s.. 2,, ibid., for “fifteen per cent. ad valor em ”(w..e..f.. 2--9--2017).",8
