,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
33,33,33,33,SECTIONS,34. Penalty for impersonation at time of enrolment.,2
34,34,34,34,SECTIONS,35. Penalty for impersonation of Aadhaar number holder by changing demographic information or biometric information .,2
35,35,35,35,SECTIONS,36. Penalty for impersonation.,2
36,36,36,36,SECTIONS,37. Penalty for disclosing identity information.,2
37,37,37,37,SECTIONS,38. Penalty for unauthorised access to the Central Identities Data Repository.,2
38,38,38,38,SECTIONS,39. Penalty for tampering with data in Central Identities Data Repository .,2
39,39,39,39,SECTIONS,40. Penalty for unauthorised use by requesting entity.,2
40,40,40,40,SECTIONS,41. Penalty for non -compliance with intimation requ irements.,2
41,41,41,41,SECTIONS,42. General penalty.,2
42,42,42,42,SECTIONS,43. Of fences by companies.,2
43,43,43,43,SECTIONS,44. Act to apply for of fence or contravention committed outside India.,2
44,44,44,44,SECTIONS,45. Power to investigate offences.,2
45,45,45,45,SECTIONS,46. Penalties not to interfere with other punishments.,2
46,46,46,46,SECTIONS,47. Cognizance of offences.3CHAPTER VIII,2
47,47,47,47,SECTIONS,48. Power of Central Government to supersede Authority.,3
48,48,48,48,SECTIONS,"49. Members, officers, etc., to be public servants.",3
49,49,49,49,SECTIONS,50. Power of Central Government to issue directions.,3
50,50,50,50,SECTIONS,51. Delegation.,3
51,51,51,51,SECTIONS,52. Protection of action taken in good fa ith.,3
52,52,52,52,SECTIONS,53. Power of Central Government to make rules.,3
53,53,53,53,SECTIONS,54. Power of Authority to make regulations.,3
54,54,54,54,SECTIONS,55. Laying of rules and regulations before Parliament.,3
55,55,55,55,SECTIONS,56. Application of other laws not barred.,3
56,56,56,56,SECTIONS,57. Act not to prevent use of Aadhaar number for other purpo ses under law.,3
57,57,57,57,SECTIONS,58. Power to remove difficulties.,3
58,58,58,58,SECTIONS,"59. Savings.4THE AADHAAR (TARGETED DELIVERY OF FINANCIAL AND OTHER SUBSIDIES,BENEFITS AND SERVICES) ACT, 2016ACT NO. 18 OF 2016[25th March , 2016 .]An Act to provide for, as agood governance, efficient, transparent, and targeted delivery ofsubsidies, benefits and services, the expenditure for which is incurred from the Consolidated Fund of India, to individuals residing in India through assigning of unique identity numbers to such individuals and for matters connected therewith or incidental thereto.BE it enacted by Parliament in the Sixty -seventh Year of the Republic of India as follows: —CHAPTER I",3
59,59,59,59,SECTIONS,"1.. Short title, extent and commencement .—(1)) This Act may be called the Aadhaar (TargetedDelivery of Financial and Other Subsidies, Benefits and Services) Act, 2016.(2)) It shall extend to the whole of India except the State of Jam mu and Kashmir and save as otherwise provided in this Act, it shall also apply to any of fence or contra vention thereunder committed outside India by any person.(3)) It shall come into force on such date1 as the Central Government may, by notification in the Official Gazette, appoint; and different dates may, be",4
60,60,60,60,SECTIONS,appointed for different provisions of this Act and any reference in any such provision to the commencement of this Act shall be construed as areference to the commencement of that provision.,4
61,61,61,61,SECTIONS,"2.. Definitions .— In this Act, unless the context otherwise requires, —(a)) “Aadhaar number ” means an identification number issued to an individual undersub-section ( 3)) of section 3;;(b)) “Aadhaar number holder ” means an individual who has been issued an Aadhaar number under this Act;(c)) “authentication ” means the process by which the Aadhaar number along with demographic information or biometric information of an individual is submitted to the Central Identities Data Repository for its verification and such Repository verifies the correctness,",4
62,62,62,62,SECTIONS,"or the lack thereof, on the basis of information available with it;(d)) “authentication record ” means the record of the time of authentication and identity of the requesting entity and the response provided by the Authority thereto;(e)) “Authority ” means the Unique Identification Authority of India established undersub-section ( 1)) of section 11;(f)) “benefit” means any advantage, gift, reward, relief, or payment, in cash or kind, provided to an individual or agroup of individ uals and includes such other benefits as may be notified by the",4
63,63,63,63,SECTIONS,"CentralGovernment;(g)) “biometric information ” means photograph, finger print, Iris scan, or such other biological attributes of an individual as may be specified by regulations;(h)) “Central Identities Data Repository ” means acentralised database in one or more locations containing all Aadhaar numbers issued to Aadhaar number holders along with the corresponding demographic information and biometric information of such individuals and other information relatedthereto;",4
64,64,64,64,SECTIONS,"1.. 12th September, 2016 — Section 1to 10, 24 to 47, vide notification No. S..O.. 2927 (E)), dated 12th September, 2016 see Gazette of India Extraordinary, Part II, s.. 3((ii).12th July, 2016 — Section 11 to 20, 22 and 23, 48 to 59, vide notification No. S..O.. 2357 (E)), dated 12 the July 2016, see Gazette of India, Extraordinary, Part II, s.. 3((ii).5((i)) “Chairperson ” means the Chairperson of the Authority appointed under section 12;(j)) “core biometric information ” means finger print, Iris scan, or such other biological attribute ofan individual",4
65,65,65,65,SECTIONS,"as may be specified by re gulations;(k)) “demographic information ” includes information relating to the name, date of birth, address and other relevant information of an individual, as may be specified by regulations for the purpose of issuing an Aadhaar number, but shall not includ erace, religion, caste, tribe, ethnicity, language,records of entitlement, income or medical history;(l)) “enrolling agency ” means an agency appointed by the Authority or aRegistrar, as the case may be, for collecting demographic and biometric information of",4
66,66,66,66,SECTIONS,"individuals under this Act;(m)) “enrolment ” means the process, as may be specified by regulations, to collect demographi cand biometric information from individuals by the enrolling agencies for the purpose of issuingAadhaar numbers to such individuals under this Act;(n)) “identity information ” in respect of an individual, includes his Aadhaar number, his biometricinforma tion and his demographic information;(o)) “Member” includes the Chairperson and Member of the Authority appointed under section 12;(p)) “notification ” means anotification",4
67,67,67,67,SECTIONS,"published in the Official Gazette and the expression“notified” with its cognate me anings and grammatical variations shall be construed accordingly;(q)) “prescribed ” means prescribed by rules made by the Central Government under this Act;(r)) “records of entitlement ” means records of benefits, subsidies or services provided to, or availed by, any individual under any programme;(s)) “Registrar” means any entity authorised or recognised by the Authority for the purpose of enrolling individuals under this Act;(t)) “regulations ” means the",4
68,68,68,68,SECTIONS,"regulations made by the Authority under this Act;(u)) “requesting entity ” means an agency or person that submits the Aadhaar number, and demographic information or biometric information, of an individual to the Central Identities Data Repository for authentication;(v)) “resident” means an individual who has re sided in India for aperiod or periods amounting in all to one hundred and eighty -two days or more in the twelve months immediately preceding the date of application for enrolment;(w)) “service” means any provision, facility, utility or any",4
69,69,69,69,SECTIONS,"other assistanc eprovided in any form to an individual or agroup of individuals and includes such other services as may be notified by the Central Government;(x)) “subsidy” means any form of aid, support, grant, subvention, or appropriation, in cash or kind,to an individual or agroup of individuals and includes such other subsidies as may be notified by the Central Government.CHAPTER II",4
70,70,70,70,SECTIONS,"3.. Aadhaar number . —(1)) Every resident shall be entitled to obtain an Aadhaar number by submitting his demographic information and biometric information by undergoing the process ofenrolment:Provided that the Central Government may, from time to time, notify such other category of individuals who may be entitled to obtain an Aadhaar number.(2)) The enrolling agency shall, at the time of enrolment, inform the individual undergoing enrolment of the following details in such manner as may be specified by regulations, namely: —(a)) the manner in",5
71,71,71,71,SECTIONS,"which the information shall be used;(b)) the nature of recipients with whom the information is intended to be shared duringauthentication; and6(c)) the existence of aright to access information, the procedure for making requests for suchaccess, and details of the person or department in -charge to whom such requests can be made.(3)) On receipt of the demographic information and biometric information under sub -section ( 1)), the Authority shall, after verifying the information, in such manner as may be specified by regulations, issue an Aad haar number to such individual.",5
72,72,72,72,SECTIONS,"4.. Properties of Aadhaar number . —(1)) An Aadhaar number, issued to an individual shall not bere-assigned to any other individual.(2)) An Aadhaar number shall be arandom number and bear no relation to the attributes or identity of the Aadhaar number holder.(3)) An Aadhaar number, in physical or electronic form subject to authentication and other conditions,as may be specified by regulations, may be accepted as proof of id entity of the Aadhaar number holder for any purpose.Explanation .—For the purposes of this sub -section, the expression",6
73,73,73,73,SECTIONS,"“electronic form ” shall have the same meaning as assigned to it in clause ( r)) of sub -section ( 1)) of section 2of the Information Tec hnologyAct, 2000 (21 of 2000).",6
74,74,74,74,SECTIONS,"5.. Special measures for issuance of Aadhaar number to certain category of persons .— The Authority shall take special measures to issue Aadhaar number to women, children, senior citizens,persons with disability, unskilled and unorganised workers, nomadic tribes or to such other persons who do not have any permanent dwelling house and such other categories of individuals as may be specified by regulations.",6
75,75,75,75,SECTIONS,"6.. Upda teof certain information .— The Authority may require Aadhaar number holders to update their demographic information and biometric information, from time to time, in such manner as may be specified by regulations, so as to ensure continued accuracy of the irinformation in the Central Identities Data Repository.CHAPTER III",6
76,76,76,76,SECTIONS,"7.. Proof of Aadhaar number necessary for receipt of certain subsidies, benefits and services,etc.—The Central Government or, as the case may be, the State Government may, for the purpose of establishing identity of an individual as acondition for receipt of asubsidy, benefit or service for which the expenditure is incurred from, or the receipt therefrom forms part of, the Consolidated Fund of India,require that such in dividual undergo authentication, or furnish proof of possession of Aadhaar number or in the case of an individual to whom no",6
77,77,77,77,SECTIONS,"Aadhaar number has been assigned, such individual makes an application for enrolment:Provided that if an Aadhaar number is not as si gned to an individual, the individual shall be offered alternate and viable means of identification for delivery of the subsidy, benefit or service.",6
78,78,78,78,SECTIONS,"8.. Authentication of Aadhaar number .— (1)) The Authority shall perform authentication of theAadhaar number of an Aadhaar number holder submitted by any requesting entity, in relation to his biometric information or demographic information, subject to such conditions and on payment of such fees and in such manner as may be specified by regulations.(2)) Arequest in gentity shall —(a)) unless otherwise provided in this Act, obtain the consent of an individual before collecting his identity information for the purposes of authentication in such manner",6
79,79,79,79,SECTIONS,"as may be specified byregulations; and(b)) ensure that the identi tyinformation of an individual is only used for submission to the Central Identities Data Repository for authentication.7((3)) Arequesting entity shall inform, in such manner as may be specified by regulations, the individual submitting his identity inform at ion for authentication, the following details with respect to authentication,namely: —(a)) the nature of information that may be shared upon authentication;(b)) the uses to which the information received during authentication",6
80,80,80,80,SECTIONS,"may be put by the request in gentity; and(c)) alternatives to submission of identity information to the requesting entity.(4)) The Authority shall respond to an authentication query with apositive, negative or any other appropriate response sharing such identity information excluding any core biometric information.",6
81,81,81,81,SECTIONS,"9.. Aadhaar number not evidence of citizenship or domicile, et c..— The Aadhaar number or the authentication thereof shall not, by itself, confer any right of, or be proof of, citizenship or domicile in respect of an Aadhaar number holder.",7
82,82,82,82,SECTIONS,10. Central Identities Data Repository .— The Authority may engage one or more entities to establish and maintain the Central Identities Data Repository and to perform any other functions as maybe specified by regulations.CHAPTER IVUNIQUE IDENTIFICATION AUTHORITY OF INIDA,7
83,83,83,83,SECTIONS,"11. Establishment of Authority .— (1)) The Central Government shall, by notification, establish an Authority to be known as the Unique Identification Authority of India to be responsible for the processes of enrolment and authentication and perform such other functions assigned to it under this Act.(2)) The Authority shall be abody corporate by the name aforesaid, having perpetual succession and acommon seal, with power, subject to the provisions of this Act, to acquire, hold and dispose of property,both movable and immovable, and to contract,",7
84,84,84,84,SECTIONS,"and shall, bythe said name, sue or be sued.(3)) The head office of the Authority shall be in New Delhi.(4)) The Authority may, with the prior approval of the Central Government, establish its offices atother places in India.",7
85,85,85,85,SECTIONS,"12. Composition of Authority .—The Author ityshall consist of aChairperson, appointed onpart-time or full -time basis, two part -time Members, and the chief executive officer who shall be Member -Secretary of the Authority, to be appointed by the Central Government.",7
86,86,86,86,SECTIONS,"13. Qualifications for appointment of Chairperson and Members of Authority .—TheChairperson and Members of the Authority shall be persons of ability and integrity having experience and knowledge of at least ten years in matters relating to technology, governance, law, develop men t,,economics, finance, management, public affairs or administration.",7
87,87,87,87,SECTIONS,"14. Term of office and other conditions of service of Chairperson and Members .—(1)) The Chairperson and the Members appointed under this Act shall hold office for aterm of three years from the date on which they assume office and shall be eligible for re -appointment:Provided that no person shall hold office as the Chairperson or Member after he has attained the age of sixty -five years.(2)) The Chairperson and every Member shall, before entering office, make and subscribe to, an oath of office and of secrecy, in such form and in such manner and",7
88,88,88,88,SECTIONS,"before such Authority as may beprescribed.(3)) Notwithstanding anything contained in sub -section ( 1)), the Chairperson or Member may —(a)) relinqu ish his office, by giving in writing to the Central Government, anotice of not less than thirty days; or(b)) be removed from his office in accordance with the provisions of section 15.8((4)) The salaries and allowances payable to, and the other terms and conditions of service of, the Chairperson and allowances or remuneration payable to part -time Members shall be such as may beprescribed.",7
89,89,89,89,SECTIONS,"15. Removal of Chairperson and Members .—(1)) The Central Government may remove fromoffice, the Chairperson, or aMember, who—(a)) is, or at any time has been adjudged as insolvent;(b)) has become physically or mentally incapable of acting as the Chairperson or, as the case maybe, aMember;(c)) has been convicted of an of fence which, in the opinion of the Central Government , involves moral turpitude;(d)) has acquired such financial or other interest as is likely to affect prejudicially his functions as the Chairperson or, as the case may be, a",8
90,90,90,90,SECTIONS,"Member; or(e)) has, in the opinion of the Central Government, so abused his posit ion as to render his continuance in office detrimental to the public interest.(2)) The Chairperson or aMember shall not be removed under clause ( b)), clause ( d)) or clause ( e)) ofsub-section ( 1)) unless he has been given areasonable opportunity of being heard .",8
91,91,91,91,SECTIONS,"16. Restrictions on Chairperson or Members on employment after cessation of office .— The Chairperson or aMember on ceasing to hold office for any reason, shall not, without previous approval of the Central Government, —(a)) accept any employment in, or be connected with the management of any organisation,company or any other entity which has been associated with any work done or contracted out by theAuthority, whether directly or indirectly, during his tenure as Chairperson or Member, as the cas emay be, for aperiod of three years from the",8
92,92,92,92,SECTIONS,"date on which he ceases to hold office:Provided that nothing contained in this clause shall apply to any employment under the Central Government or aState Government or local authority or in any statutory authority or any corporation established by or under any Central, State or provincial Act or aGovernment Company, as defined in clause ( 45) of section 2of the Companies Act, 2013 (18 of 2013);(b)) act, for or on behalf of any person or organisation in connection with any specific proceeding or transaction or negotiation or acase to which",8
93,93,93,93,SECTIONS,"the Authority is aparty and with respect to which the Chairperson or such Member had, before cessation of off ice, acted for or provided advice to, theAuthority;(c)) give advice to any person using information which was obtained in his capacity as the Chairperson or aMember and being unavailable to or not being able to be made available to thepublic; or(d)) enter, for aperiod of three years from his last day in office, into acontract of service with,accept an appointment to aboard of directors of, or accept an offer of employment with, an entity with which he had direct and significant official deal in gs during his term of office.",8
94,94,94,94,SECTIONS,"17. Functions of Chairperson .— The Chairperson shall preside over the meetings of the Authority,and without prejudice to any provision of this Act, exercise and discharge such other powers and functions of the Authority as may be prescribed.",8
95,95,95,95,SECTIONS,"18. Chief executive officer .— (1)) There shall be achief executive officer of the Authority, not below the rank of Additional Secretary to the Government of India, to be appointed by the Central Government.(2)) The chief executive officer shall be the legal representative of the Authority and shall be responsible for —(a)) the day -to-day administration of the Authority;(b)) implementing the work program mes and decisions adopted by the Authority;9((c)) drawing up of proposal for the Authority'sdecisions and work programmes;(d)) the preparation of",8
96,96,96,96,SECTIONS,"the statement of revenue and expenditure and the execution of the budget of the Authority; and(e)) performing such other functions, or exercising such other powers, as may be specified byregulations.(3)) Every year, the chief executive officer shall submit to the Authority for approval —(a)) ageneral report covering all the activities of the Authority in the previous year;(b)) program mes of work;(c)) the annual accounts for the previous year; and(d)) the budget for the coming year.(4)) The chief executive officer shall have administrative control over the officers and other employees of the Authority.",8
97,97,97,97,SECTIONS,"19. Meetings of Authority .—(1)) The Authority shall meet at such times and places and shall observe such rules of procedure in regard to the transaction of business at its meetings, including quorum at suchmeetings, as may be specified by regulations.(2)) The Chairperson, or, if for any reason, he is unable to attend ameeting of the Authority, the seni or most Member shall preside over the meetings of the Authority.(3)) All questions which come up before any meeting of the Authority shall be decided by amajority of votes by the Members present",9
98,98,98,98,SECTIONS,"and voting and in the event of an equality of votes, the Cha irperson or in his absence the presiding Member shall have acasting vote.(4)) All decisions of the Authority shall be signed by the Chairperson or any other Member or the Member -Secretary authorised by the Authority in this behalf.(5)) If any Member, who is adirector of acompany and who as such director, has any direct or indirect pecuniary interest in any manner coming up for consideration at ameeting of the Authority, heshall, as soon as possible after relevant circumstances have",9
99,99,99,99,SECTIONS,"come to his knowledg e,, disclose the nature of his interest at such meeting and such disclosure shall be recorded in the proceedings of the Authority, and the Member shall not take part in any deliberation or decision of the Author itywith respect to that matter.",9
100,100,100,100,SECTIONS,"20. Vacancies , etc., not to invalidate proceedings of Authority .—No act or proceeding of the Authority shall be invalid merely by reason of —(a)) any vacancy in, or any defect in the constitution of, the Authority;(b)) any defect in the appointment of aperson as Chairperson or Member of the Authority; or(c)) any irregularity in the procedure of the Authority not affecting the merits of the case.",9
101,101,101,101,SECTIONS,"21. Officers and other employees of Authority .— (1)) The Authority may, with the approval of the Central Government, determine the number, nature and categories of other officers and employees required by the Authority in the discharge of its functions.(2)) The salaries and allowances payable to, and the other terms and conditions of service of, the chief executive offic er and other officers and other employees of the Authority shall be such as may be specified by regulations with the approval of the Central Government.",9
102,102,102,102,SECTIONS,"22. Transfer of assets, liabilities of Authority .— On and from the establishment of the Authority —(a)) all the assets and liabilities of the Unique Identification Authority of India, established vide notification of the Government of India in the Planning Commission numberA-43011/02/2009 -Admin. I,, dated the 28th January, 2009, shall stand transferred to, and vested in,the Authority.10Explanation .—The assets of such Unique Identification Authority of India shall be deemed to include all rights and powers, and all properties, whether movable",9
103,103,103,103,SECTIONS,"or immovable, including, in particular, cashbalances, deposits and all other interests and rights in, or arising out of, such properties as may be in the possession of such Unique Identification Authority of India and all books of account and other documents relating to the same ; and liabilities shall be deemed to include all debts, liabilities and obligations of whatever kind;(b)) without prejudice to the provisions of clause ( a)), all data and information collected duringenrolment, all details of authentication performed, debts , obligations",9
104,104,104,104,SECTIONS,"and liabilities incurred, all contracts entered into and all matters and things engaged to be done by, with or for such Unique Identification Authority of India immediately before that day, for or in connection with the purpose of the said Unique Identification Authority of India, shall be deemed to have been incurred, entered into or engaged to be done by, with or for, the Authority;(c)) all sums of money due to the said Unique Identification Authority of India immediately before that day sha llbe deemed to be due to the Authority; and(d)) all",9
105,105,105,105,SECTIONS,suits and other legal proceedings instituted or which could have been instituted by or against such Unique Identification Authority of India immediately before that day may be continue dor may be institu ted by or against the Authority.,9
106,106,106,106,SECTIONS,"23. Powers and functions of Authority .—(1)) The Authority shall develop the policy, procedure and systems for issuing Aadhaar numbers to individuals and perform authentication thereof under this Act.(2)) Without prejudice to sub-section ( 1)), the powers and functions of the Authority, inter alia ,include—(a)) specifying, by regulations, demographic information and biometric information required for enrolment and the processes for collection and verification thereof;(b)) collec ting demographic information and biometric information from any",10
107,107,107,107,SECTIONS,individual seeking anAadhaar number in such manner as may be specified by regulations;(c)) appointing of one or more entities to operate the Central Identities Data Repository;(d)) generating and assigning Aadhaar numbers to individuals;(e)) performing authentication of Aadhaar numbers;(f)) maintaining and updating the information of individuals in the Central Identities Data Repository in such manner as may be specified by regulations;(g)) om it ting and deactivating of an Aadhaar number and information relating thereto in such manner as may be,10
108,108,108,108,SECTIONS,"specified by regulations;(h)) specifying the manner of use of Aadhaar numbers for the purposes of providing or availing of various subsidies, benefits, ser vices and other purposes for which Aadhaar numbers may be used;(i)) specifying, by regulations, the terms and conditions for appointment of Registrars, enrolling agencies and service providers and revocation of appointments thereof;(j)) establishing, ope rating and maintaining of the Central Identities Data Repository;(k)) sharing, in such manner as may be specified by regulations, the",10
109,109,109,109,SECTIONS,"information of Aadhaarnumber holders, subject to the provisions of this Act;(l)) calling for information and records, con ducting inspections, inquiries and audit of the operations for the purposes of this Act of the Central Identities Data Repository, Registrars, enrolling agencies and other agencies appointed under this Act;(m)) specifying, by regulations, various processes relating to data management, security protocol sand other technology safeguards under this Act;(n)) specifying, by regulations, the conditions and procedures for issuance of",10
110,110,110,110,SECTIONS,"new Aadhaar number to existing Aadhaar number holder;11(o)) levying and collecting the fees or authorising the Registrars, enrolling agencies or other service providers to collect such fees for the services provided by them under this Act in such manner as may be specified by regulations;(p)) appointing such committees as may be necessar yto assist the Authority in discharge of its functions for the purposes of this Act;(q)) promoting research and development for advancement in biometrics and related areas,including usage of Aadhaar numbers through",10
111,111,111,111,SECTIONS,"appropriate mechanisms;(r)) evolving of, and specifying, by regulations, policies and practices for Registrars, enrolling agencies and other service providers;(s)) setting up facilitation centres and grievance redressal mechanism for redressal of grievances ofindividuals, Registrars, enrol li ngagencies and other service providers;(t)) such other powers and functions as may be prescribed.(3)) The Authority may, —(a)) enter into Memorandum of Understanding or agreement, as the case may be, with the Central Government or State Governments or Uni on",10
112,112,112,112,SECTIONS,"territories or other agencies for the purpose of performing any of the functions in relation to collecting, storing, securing or processing of information or delivery of Aadhaar numbers to individuals or performing authentication;(b)) by notification, appoint such number of Registrars, engage and authorise such agencies tocollect, store, secure, process information or do authentication or perform such other functions in relation thereto,as may be necessary for the purposes of this Act.(4)) The Authority may engage such consultants, advisors and",10
113,113,113,113,SECTIONS,"other persons as may be required for efficient discharge of its functions under this Act on such allowances or remuneration and terms and conditions asmay be specified by contract.CHAPTER VGRANTS , ACCOUNTS AND AUDIT AND ANNUAL REPORT",10
114,114,114,114,SECTIONS,"24. Grants by Central Government .— The Central Government may, after due appropriation made by Parliament by law in this behalf, make to the Authority, grants of such sums of money as the Central Government may think fit for being utilise dfor the purposes of this Act.",11
115,115,115,115,SECTIONS,25. Other fees and revenues .—The fees or revenue collected by the Authority shall be credited to the Consolidated Fund of India.,11
116,116,116,116,SECTIONS,26. Accounts and audit .—(1)) The Authority shall maintain proper accounts and other relevant records and prepare an annual statement of accounts in such form as may be prescribed by the Central Government in consultation with the Comptroller and Auditor -General of India.(2)) The accounts of the Authority shall be audited annually by the Comptroller and Auditor -Generalof India at such intervals as may be specified by him and any expenditure incurred in connection with such audit shall be payable by the Authority to the Comptroller and Auditor,11
117,117,117,117,SECTIONS,"-General.(3)) The Comptroller and Auditor -Genera lof India and any person appointed by him in connection with the audit the accounts of the Authority under this Act shall have the same rights and privileges and authority in connection with such audit as the Comptroller and Auditor -General generally has in connection with the audit of Government accounts, and in particular, shall have the right to demand production of books, accounts, connected vouchers and other documents and papers, and to inspect any of the offices of the Authority.(4)) The",11
118,118,118,118,SECTIONS,"accounts of the Authority, as certified by the Comptroller and Auditor -General of India or any other person appointed by him in this behalf, together with the audit report thereon shall be forwarded annually to the Central Government by the Authority and the Central Government shall cause the audit report to be laid, as soon as may be after it is received, before each House of Parliament.12",11
119,119,119,119,SECTIONS,"27. Returns and annual report, et c..— (1)) The Authority shall furnish to the Central Government at such time and in such form and manner as may be prescribed or as the Central Government may direct,such returns and statements and particulars in regard to any matter under the jurisdiction of the Authority,as the Central Government may from time to time require.(2)) The Authority sha llprepare, once in every year, and in such form and manner and at such time as may be prescribed, an annual report giving —(a)) adescription of all the activities of",12
120,120,120,120,SECTIONS,"the Authority for the previous years;(b)) the annual accounts for the previous year; and(c)) the program mes of work for coming year.(3)) Acopy of the report received under sub -section ( 2)) shall be laid by the Central Government, as soon as may be after it is received, before each House of Parliament.CHAPTER VIPROTECTION OF INFORMATION",12
121,121,121,121,SECTIONS,"28. Security and confidentiality of information . — (1)) The Authority shall ensure the security of identity information and authentication records of individuals.(2)) Subject to the provisions of this Act, the Authority shall ensure confidentiality of identity information and authentication records of individuals.(3)) The Authority shall take all necessary measures to ensure that the information in the possession or control of the Authority, including information stored in the Central Identities Data Repository , is secured and protected against",12
122,122,122,122,SECTIONS,"access, use or disclosure not permitted under this Act or regulations madethereunder, and against accidental or intentional destruction, loss or damage.(4)) Without prejudice to sub -sections ( 1)) and ( 2)), the Authority sh all—(a)) adopt and implement appropriate technical and organisational security measures;(b)) ensure that the agencies, consultants, advisors or other persons appointed or engaged for performing any function of the Authority under this Act, have in place appropriate technical andorganisational security measures for the",12
123,123,123,123,SECTIONS,"information; and(c)) ensure that the agreements or arrangements entered into with such agencies, consultants,advisors or other persons, impose obligations equivalent to those imposed on the Authority under thisAct, and require such agencies, consultants, advisors and other persons to act only on instructions from the Authority.(5)) Notwithstanding anything contained in any other law for the time being in force, and save as otherwise provided in this Act, the Authority or any of its officers or other employees or any agency that maintains the",12
124,124,124,124,SECTIONS,"Central Identities Data Repository shall not, whether during his service or thereafter, reveal any information stored in the Central Identities Data Rep ository or authentication record to anyone:Provided that an Aadhaar number holder may request the Authority to provide access to his identity information excluding his core biometric information in such manner as may be specified by regulations.",12
125,125,125,125,SECTIONS,"29. Restri ction on sharing information .—(1)) No core biometric information, collected or created under this Act, shall be —(a)) shared with anyone for any reason whatsoever; or(b)) used for any purpose other than generation of Aadhaar numbers and authentication under thisAct.(2)) The identity information, other than core biometric information, collected or created under this Act may be shared only in accordance with the provisions of this Act and in such manner as may be specified by regulations.13(3)) No identity information available with a",12
126,126,126,126,SECTIONS,"requesting entity shall be —(a)) used for any purpose, other than that specified to the individual at the time of submitting any identity information for authentication; or(b)) disclosed further, except with the prior consent of the individual to whom such informationrelates.(4)) No Aadhaar number or core biometric information collected or created under this Act in respect ofan Aadhaar number holder shall be published, displayed or posted publicly, except for the purposes as may be specified by regulations.",12
127,127,127,127,SECTIONS,"30. Biometric information deemed to be sensitive personal information .— The biometric information collected and stored in electronic form, in accordance with this Act and regulations madethereunder, shall be deemed to be “electronic record ” and “sensitive personal data or information ”, and the provisions contained in the Information Technology Act, 2000 (21 of 2000) and the rules made thereunder shall apply to such information, in addition to, and to the extent not in derog at ion of the provisions of this Act.Explanation . — For the purposes of",13
