,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Title,Paragraph Text,Page No
10,10,10,10,PRELIMINARY,"made in the income from asource outside India in the assessment or reassessment of the total income of any previous year, of theassessee under the Income-tax Act in accordance with the provisions of section 29 to section 43C or section 57 to section 59 or section 92C of the said Act, shall not be included in the total undisclosed foreign income.(3)) The income included in the total undisclosed foreign income and asset under this Act shall not form part of the total income under the Income-tax Act.",5
11,11,11,11,PRELIMINARY,"5.. Computation of total undisclosed foreign income and asset. —(1)) In computing the total undisclosed foreign income and asset of any previous year of an assessee,—(i)) no deduction in respect of any expenditure or allowance or set off of any loss shall be allowed to the assessee, whether or not it is allowable in accordance with the provisions of the Income-taxAct;(ii) any income,—(a)) which has been assessed to tax for any assessment year under the Income-tax Act prior to the assessment year to which this Act applies; or(b)) which is assessable or",6
12,12,12,12,PRELIMINARY,"has been assessed to tax for any assessment year under this Act,shall be reduced from the value of the undisclosed asset located outside India, if, the asses see furnishes evidence to the satisfaction of the Assessing Officer that the asset has been acquired from the income which has been assessed or is assessable, as the case may be, to tax.(2)) The amount of deduction referred to in clause ( ii) of sub-section ( 1)) in case of an immovable property shall be the amount which bears to the value of the asset as on the first day of the financial",6
13,13,13,13,PRELIMINARY,"year in which it comes to the notice of the Assessing Officer, the same proportion as the assessable or assessed foreign income bears to the total cost of the asset.IllustrationA house property located outside India was acquired by an asses see in the previous year 2009-10 for fifty lakh rupees. Out of the investment of fifty lakh rupees, twenty lakh rupees was assessed to tax in the total income of the previous year 2009-10 and earlier years. Such undisclosed asset comes to the notice of the Assessing Officer in the year2017-18. If the value of",6
14,14,14,14,PRELIMINARY,"the asset in the year 2017-18 is one crore rupees,the amount chargeable to tax shall be A--B== Cwhere,A== Rs.1crore, B== Rs. (100 × 20/50) lakh = Rs.40 lakh, C== Rs. (100-40) lakh = Rs.60 lakh.7CHAPTER IIITAX MANAGEMENT",6
15,15,15,15,PRELIMINARY,"6.. Tax authorities. —(1)) The income-tax authorities specified in Section 116 of the Income-tax Act shall be the tax authorities for the purposes of this Act.(2)) Every such authority shall exercise the powers and perform the functions of atax authority under this Act in respect of any person within his jurisdiction.(3)) Subject to the provisions of sub-section ( 4)), the jurisdiction of atax authority under this Act shall be the same as he has under the Income-tax Act by virtue of orders or directions issued under section 120of that Act (including",7
16,16,16,16,PRELIMINARY,orders or directions assigning the concurrent jurisdiction) or under any other provision of that Act.(4)) The tax authority having jurisdiction in relation to an asses see who has no income assessable toincome-tax under the Income-tax Act shall be the tax authority having jurisdiction in respect of the area in which the asses see resides or carries on its business or has its principal place of business.(5)) Section 118 of the Income-tax Act and any notification issued thereunder shall apply in relation to the control of tax authorities as they apply,7
17,17,17,17,PRELIMINARY,"in relation to the control of the corresponding income-taxauthorities, except to the extent to which the Board may, by notification in the Official Gazette, otherwise direct in respect of any tax authority.",7
18,18,18,18,PRELIMINARY,"7.. Change of incumbent. —(1)) The tax authority who succeeds another authority as aresult of change in jurisdiction or for any other reason, shall continue the proceedings from the stage at which itwas left by his predecessor.(2)) The asses see in such acase may be given an opportunity of being heard, if he so requests inwriting, before passing any order in his case.",7
19,19,19,19,PRELIMINARY,"8.. Powers regarding discovery and production of evidence. —(1)) The prescribed tax authoritiesshall, for the purposes of this Act, have the same powers as are vested in acourt under the Code of CivilProcedure, 1908 (5of 1908), while trying asuit in respect of the following matters, namely:—(a)) discovery and inspection;(b)) enforcing the attendance of any person, including any officer of abanking company and examining him on oath;(c)) compelling the production of books of account and other documents; and(d)) issuing commissions.(2)) For the",7
20,20,20,20,PRELIMINARY,"purposes of making any inquiry or investigation, the prescribed tax authority shall be vested with the powers referred to in sub-section ( 1)), whether or not any proceedings are pending beforeit.(3)) Any tax authority prescribed for the purposes of sub-section ( 1)) or sub-section ( 2)) may, subject to the rules made in this behalf, impound any books of account or other documents produced before it and retain them in its custody for such period as it thinks fit.(4)) Any tax authority below the rank of Commissioner shall not—(a)) impound any books of",7
21,21,21,21,PRELIMINARY,account or other documents without recording his reasons for doing so;or8 (b)) retain in his custody any such books or documents for aperiod exceeding thirty days without obtaining the approval of the Principal Chief Commissioner or the Chief Commissioner or the Principal Commissioner or the Commissioner.,7
22,22,22,22,PRELIMINARY,"9.. Proceedings before tax authorities to be judicial proceedings. —(1)) Any proceeding under this Act before atax authority shall be deemed to be ajudicial proceeding within the meaning of section 193and section 228 and for the purposes of section 196 of the India nPenal Code (45 of 1860).(2)) Every tax authority shall be deemed to be acivil court for the purposes of section 195, but not for the purposes of Chapter XXVI of the Code of Criminal Procedure, 1973 (2of 1974).",8
23,23,23,23,PRELIMINARY,"10. Assessment. —(1)) For the purposes of making an assessment or reassessment under this Act, the Assessing Officer may, on receipt of an information from an income-tax authority under the Income-taxAct or any other authority under any law for the time being in force or on coming of any information to his notice, serve on any person, anotice requiring him on adate to be specified to produce or cause to be produced such accounts or documents or evidence as the Assessing Officer may require for the purposes of this Act and may, from time to time,",8
24,24,24,24,PRELIMINARY,"serve further notices requiring the production of such other accounts or documents or evidence as he may require.(2)) The Assessing Officer may make such inquiry, as he considers necessary, for the purpose of obtaining full information in respect of undisclosed foreign income and asset of any person for the relevant financial year or years.(3)) The Assessing Officer, after considering such accounts, documents or evidence, as he has obtained under sub-section ( 1)), and after taking into account any relevant material which he has gathered under",8
25,25,25,25,PRELIMINARY,"sub-section ( 2)) and any other evidence produced by the assessee, shall by an order in writing,assess the undisclosed foreign income and asset and determine the sum payable by the assessee.(4)) If any person fails to comply with all the terms of the notice under sub-section ( 1)), the Assessing Officer shall, after taking into account all the relevant material which he has gathered and after giving theassessee an opportunity of being heard, make the assessment of undisclosed foreign income and asset to the best of his judgment and determine the sum payable by the assessee.",8
26,26,26,26,PRELIMINARY,"11. Time limit for completion of assessment and reassessment. —(1)) No order of assessment or reassessment shall be made under section 10 after the expiry of two years from the end of the financial year in which the notice under sub-section ( 1)) of section 10 was issued by the Assessing Officer.(2)) Notwithstanding anything contained in sub-section ( 1)), an order of fresh assessment in pursuance of an order passed under section 18 setting aside or cancelling an assessment, may be made at any time before the expiry of the period of two years from the",8
27,27,27,27,PRELIMINARY,"end of the financial year in which the order under section 18 is received by the Principal Commissioner or the Commissioner.(3)) The provisions of sub-section ( 1)) shall not apply to the assessment or reassessment made inconsequence of, or to give effect to, any finding or direction contained in an order under section 15 or section 18 or section 19 or section 22 of this Act or in an order of any court in aproceeding otherwise than by way of appeal under this Act and such assessment or reassessment may, subject to the provisions of sub-section (",8
28,28,28,28,PRELIMINARY,"2)), be completed at any time, before the expiry of the period of two years from the end of the financial year in which such order is received by the Principal Commissioner or the Commissioner.Explanation 1..—In computing the period of limitation for the purpose of this section—(i)) the time taken in reopening the whole or any part of the proceeding; or(ii) the period during which the assessment proceeding is stayed by an order or injunction of anycourt; or9 (iii) the period commencing from the date on which areference or first of the references",8
29,29,29,29,PRELIMINARY,"for exchange of information is made by an authority competent under an agreement referred to in section90 or section 90A of the Income-tax Act or under section 73 of this Act and ending with the date on which the Principal Commissioner or the Commissioner last receives, the information so requested ora period of one year, whichever is less, shall be excluded:Provided that where immediately after the exclusion of the aforesaid time or period, the period of limitation referred to in sub-sections ( 1)), (2)) and ( 3)) available to the Assessing",8
30,30,30,30,PRELIMINARY,"Officer for making an order of assessment or reassessment, as the case may be, is less than sixty days, such remaining period shall be extended to sixty days and the aforesaid period of limitation shall be deemed to be extendedaccordingly.Explanation 2..—Where, by an order referred to in sub-section ( 3)), any undisclosed foreign income and asset is excluded from the total undisclosed foreign income and asset for an assessment year in respect of an assessee, then, an assessment of such undisclosed foreign income and asset for another assessment year",8
31,31,31,31,PRELIMINARY,"shall, for the purposes of section 10 and this section, be deemed to be one made inconsequence of, or to give effect to, any finding or direction contained in the said order.",8
32,32,32,32,PRELIMINARY,"12. Rectification of mistake. —(1)) Atax authority may amend any order passed by it under this Act so as to rectify any mistake apparent from the record.(2)) No amendment under this section shall be made after aperiod of four years from the end of the financial year in which the order sought to be amended was passed.(3)) The tax authority shall not make any amendment, which has the effect of enhancing the undisclosed foreign income and asset or reducing arefund or otherwise increasing the liability of theassessee, unless the authority concerned",9
33,33,33,33,PRELIMINARY,"has given to the asses see an opportunity of being heard.(4)) The tax authority concerned may make an amendment under this section—(a)) on its own motion; or(b)) on an application made to it by the asses see or, as the case may be, by the Assessing Officer.(5)) Any application received by the tax authority for amendment of an order shall be decided within aperiod of six months from the end of the month in which such application is received by it.(6)) In acase where the order has been made in an appeal or revision, the power of the tax authority to amend the order shall be restricted to matters other than those decided in appeal or revision.",9
34,34,34,34,PRELIMINARY,13. Notice of demand. —Any sum payable in consequence of any order made under this Act shall be demanded by atax authority by serving upon the asses see anotice of demand in such form and manner as may be prescribed.,9
35,35,35,35,PRELIMINARY,"14. Direct assessment or recovery not barred. —Nothing in this Chapter shall prevent either the direct assessment of the person on whose behalf or for whose benefit the undisclosed income from asource located outside India is receivable or undisclosed asset located outside India is held, or the recovery from such person of the tax or any other sum of money payable in respect of such income andasset.",9
36,36,36,36,PRELIMINARY,"15. Appeals to the Commissioner (Appeals). —(1)) Any person,—(a)) objecting to the amount of tax on undisclosed foreign income and asset for which he is assessed by the Assessing Officer; or(b)) denying his liability to be assessed under this Act; or10 (c)) objecting to any penalty imposed by the Assessing Officer; or(d)) objecting to an order of rectification having the effect of enhancing the assessment or reducing the refund; or(e)) objecting to an order refusing to allow the claim made by the asses see for arectification under section 12, may",9
37,37,37,37,PRELIMINARY,"appeal to the Commissioner (Appeals).(2)) Every appeal shall be filed in such form and verified in such manner and be accompanied by afee as may be prescribed.(3)) An appeal shall be presented within aperiod of thirty days from—(a)) the date of service of the notice of demand relating to the assessment or penalty, or(b)) the date on which the intimation of the order sought to be appealed against is served in any other case.(4)) The Commissioner (Appeals) may admit an appeal after the expiration of the period referred to insub-section ( 3))—(a)) if",9
38,38,38,38,PRELIMINARY,"he is satisfied that the appellant had sufficient cause for not presenting it within that period;and(b)) the delay in preferring the appeal does not exceed aperiod of one year.(5)) The Commissioner (Appeals) shall hear and determine the appeal and, subject to the provisions of this Act, pass such orders as he thinks fit and such orders may include an order enhancing the assess mentor penalty:Provided that an order enhancing the assessment or penalty shall not be made unless the asses see has been given areasonable opportunity of being heard.",9
39,39,39,39,PRELIMINARY,"16. Procedure to be followed in appeal. —(1)) The Commissioner (Appeals) shall fix adate and place for the hearing of the appeal, and shall give notice of the same to the appellant and the Assessing Officer against whose order the appeal is preferred.(2)) The following shall have the right to be heard at the hearing of the appeal, namely:—(a)) the appellant, either in person or by an authorised representative;(b)) the Assessing Officer, either in person or by arepresentative.(3)) The Commissioner (Appeals) may adjourn the hearing of the appeal",10
40,40,40,40,PRELIMINARY,"whenever he considers it necessary or expedient to do so.(4)) The Commissioner (Appeals) may, before disposing of any appeal, make such further inquiry ashe thinks fit.(5)) The Commissioner (Appeals) may, during the proceedings before him, direct the Assessing Officer to make an inquiry and report to him on the points arising out of any question of law or fact.(6)) The Commissioner (Appeals) may, at the hearing of an appeal, allow the appellant to go into any ground of appeal not specified in the grounds of appeal, if the Commissioner (Appeals) is",10
41,41,41,41,PRELIMINARY,"satisfied that the omission was not wilful or unreasonable.(7)) The order of the Commissioner (Appeals) disposing of the appeal shall be in writing and shall state the points for determination, the decision thereon and the reasons therefor.11 (8)) Every appeal preferred under section 15 shall be heard and disposed of by the Commissioner(Appeals) as expeditiously as possible and endeavour shall be made to dispose of such appeal within aperiod of one year from the end of the financial year in which the appeal is preferred.(9)) On the disposal of the",10
42,42,42,42,PRELIMINARY,"appeal, the Commissioner (Appeals) shall communicate the order passed by him to the asses see and to the Principal Chief Commissioner or the Chief Commissioner or the Principal Commissioner or the Commissioner.",10
43,43,43,43,PRELIMINARY,"17. Powers of Commissioner (Appeals). —(1)) In disposing of an appeal, the Commissioner(Appeals) shall have the following powers, namely:—(a)) in an appeal against an order of assessment, he may confirm, reduce, enhance or annul theassessment;(b)) in an appeal against an order imposing apenalty, he may confirm or cancel such order;(c)) in any other case, he may determine the issues arising in the appeal and pass such ordersthereon, as he thinks fit.(2)) The Commissioner (Appeals) may consider and decide any matter which was not considered by the",11
44,44,44,44,PRELIMINARY,"Assessing Officer.(3)) The Commissioner (Appeals) shall not enhance an assessment or apenalty unless the appellant has been given an opportunity of being heard.(4)) In disposing of an appeal, the Commissioner (Appeals) may consider and decide any matter arising out of the proceedings in which the order appealed against was passed, notwithstanding that such matter was not raised before him by the appellant.",11
45,45,45,45,PRELIMINARY,"18. Appeals to Appellate Tribunal. —(1)) Any asses see aggrieved by an order passed by the Commissioner (Appeals) under section 15, or an order passed by the Principal Commissioner or the Commissioner under any provision of this Act, may appeal to the Appellate Tribunal against such order.(2)) The Principal Commissioner or the Commissioner may, if he objects to any order passed by the Commissioner (Appeals) under any provision of this Act, direct the Assessing Officer to appeal to the Appellate Tribunal against the order.(3)) Every appeal under",11
46,46,46,46,PRELIMINARY,"sub-section ( 1)) or sub-section ( 2)) shall be filed within aperiod of sixty days from the date on which the order sought to be appealed against is communicated to the asses see or to the Principal Commissioner or the Commissioner, as the case may be.(4)) The Assessing Officer or the assessee, as the case may be, on receipt of notice that an appeal against the order of the Commissioner (Appeals) has been preferred under sub-section ( 1)) orsub-section ( 2)) by the other party may, notwithstanding that he may not have appealed against such order or",11
47,47,47,47,PRELIMINARY,"any part thereof, within thirty days of the receipt of the notice, file amemorandum of cross-objections,verified in the prescribed manner, against any part of the order of the Commissioner (Appeals), and such memorandum shall be disposed of by the Appellate Tribunal as if it were an appeal presented within the time specified in sub-section ( 3)).(5)) The Appellate Tribunal may admit an appeal or permit the filing of amemorandum of cross-objections after the expiry of the period referred to in sub-section ( 3)) or sub-section ( 4)), if —(a)) it is",11
48,48,48,48,PRELIMINARY,"satisfied that there was sufficient cause for not presenting it within that period; and(b)) the delay in filing the appeal does not exceed aperiod of one year.12 (6)) An appeal to the Appellate Tribunal shall be filed in such form, and verified in such manner, andshall, except in the case of an appeal referred to in sub-section ( 2)) or amemorandum of cross-objectionsreferred to in sub-section ( 4)), be accompanied by afee as may be prescribed.(7)) Subject to the provisions of this Act, in hearing and making an order on any appeal under",11
49,49,49,49,PRELIMINARY,"thissection, the Appellate Tribunal shall exercise the same powers and follow the procedure as it exercise sand follows in hearing and making an order on any appeal under the Income-tax Act.",11
50,50,50,50,PRELIMINARY,"19. Appeal to High Court. —(1)) An appeal shall lie to the High Court from every order passed in appeal by the Appellate Tribunal, if the High Court is satisfied that the case involves asubstantial question of law.(2)) The Principal Chief Commissioner or the Chief Commissioner or the Principal Commissioner or the Commissioner or an assessee, may file an appeal to the High Court on being aggrieved by any order passed by the Appellate Tribunal and such appeal shall be —(a)) filed within aperiod of one hundred and twenty days from the date on which",12
51,51,51,51,PRELIMINARY,"the order appealed against is received by the Principal Chief Commissioner or the Chief Commissioner or the Principal Commissioner or the Commissioner or the assessee;(b)) in the form of amemorandum of appeal precisely stating therein the substantial question oflaw involved.(3)) The High Court may admit an appeal after the expiry of the period of one hundred and twenty days referred to in sub-section ( 2)), if it is satisfied that there was sufficient cause for not filing the appeal within that period.(4)) If the High Court is satisfied that a",12
52,52,52,52,PRELIMINARY,"substantial question of law is involved in any case, it shall formulate that question.(5)) The appeal shall be heard only on the question so formulated, and the respondents shall, at the hearing of the appeal, be allowed to argue that the case does not involve such question.(6)) Notwithstanding anything in sub-sections ( 4)) and ( 5)), the High Court may exercise its power to hear the appeal on any other substantial question of law not formulated by it, if it is satisfied that the case involves such question of law.(7)) The High Court shall decide the",12
53,53,53,53,PRELIMINARY,"question of law so formulated and deliver such judgment thereon containing the grounds on which such decision is founded and may award such cost as it deems fit.(8)) The High Court may determine any issue which —(a)) has not been determined by the Appellate Tribunal; or(b)) has been wrongly determined by the Appellate Tribunal, by reason of adecision on the question of law referred to in sub-section ( 1)).(9)) The provisions of the Code of Civil Procedure, 1908 (5of 1908), relating to appeals to the High Court shall, so far as may be, apply in the",12
54,54,54,54,PRELIMINARY,"case of appeals under this section.(10) When the High Court delivers ajudgment in an appeal filed before it under sub-section ( 7)),effect shall be given to the order passed on the appeal by the Assessing Officer on the basis of acertified copy of the judgment.",12
55,55,55,55,PRELIMINARY,"20. Case before High Court to be heard by not less than two Judges. —(1)) An appeal filed before the High Court shall be heard by aBench of not less than two Judges of the High Court and shall be13 decided in accordance with the opinion of such Judges or if the Bench is of more than two Judges, by the majority of such Judges.(2)) Where there is no such majority, the Judges shall state the point of law upon which they differ and the case shall then be heard upon that point only by one or more of the other Judges of the High Court and such point shall be decided according to the opinion of the majority of the Judges who have heard the case including those who first heard it.",12
56,56,56,56,PRELIMINARY,21. Appeal to Supreme Court. —An appeal shall lie to the Supreme Court from any judgment of the High Court delivered under section 19 which the High Court certifies to be afit case for appeal to the Supreme Court.,13
57,57,57,57,PRELIMINARY,"22. Hearing before Supreme Court. —(1)) The provisions of the Code of Civil Procedure, 1908(5of 1908), relating to appeals to the Supreme Court shall, so far as may be, apply in the case of appeal sunder section 21 as they apply in the case of appeals from decrees of aHigh Court.(2)) The costs of the appeal shall be in the discretion of the Supreme Court.(3)) Where the judgment of the High Court is varied or reversed in the appeal, effect shall be given to the order of the Supreme Court in the manner provided in sub-section ( 10) of section 19.",13
58,58,58,58,PRELIMINARY,"23. Revision of orders prejudicial to revenue. —(1)) The Principal Commissioner or the Commissioner may, for the purposes of revising any order passed in any proceeding under this Act before any tax authority subordinate to him, call for and examine all available records relating thereto.(2)) The Principal Commissioner or the Commissioner may, after giving the asses see an opportunity of being heard, pass an order (hereinafter referred to as the revision order) as the circumstances of the casejustify, if he is satisfied that the order sought to be",13
59,59,59,59,PRELIMINARY,"revised is erroneous in so far as it is prejudicial to the interests of the revenue.(3)) The Principal Commissioner or the Commissioner may make, or cause to be made, such inquiry as he considers necessary for the purposes of passing an order under sub-section ( 2)).(4)) The revision order passed by the Principal Commissioner or the Commissioner undersub-section ( 2)) may have the effect of enhancing or modifying the assessment but shall not be an order cancelling the assessment and directing afresh assessment.(5)) The power of the Principal",13
60,60,60,60,PRELIMINARY,"Commissioner or the Commissioner under sub-section ( 2)) for revising an order shall extend to such matters as have not been considered and decided in any appeal.(6)) No order under sub-section ( 2)) shall be made after the expiry of aperiod of two years from the end of the financial year in which the order sought to be revised was passed.(7)) Notwithstanding anything in sub-section ( 6)), an order in revision under this section may be passed at any time in respect of an order which has been passed in consequence of, or to give effect to, any finding",13
61,61,61,61,PRELIMINARY,"or direction contained in an order of the Appellate Tribunal, the High Court or the Supreme Court.(8)) In computing the period of limitation under sub-section ( 6)), the following shall not be included,namely:—(a)) the time taken in giving an opportunity to the asses see to be reheard under section 7;; or(b)) any period during which any proceeding under this section is stayed by an order or injunction of any court.14 (9)) Without prejudice to the generality of the foregoing provisions, an order passed by atax authority shall be deemed to be erroneous",13
62,62,62,62,PRELIMINARY,"in so far as it is prejudicial to the interests of the revenue, if in the opinion of the Principal Commissioner or the Commissioner—(a)) the order is passed without making inquiries or verification which, should have been made; or(b)) the order has not been made in accordance with any order, direction or instruction issued by the Board; or(c)) the order has not been passed in accordance with any decision, prejudicial to the assessee,rendered by the jurisdictional High Court or the Supreme Court in the case of the asses see or any other person under",13
63,63,63,63,PRELIMINARY,"this Act or the Income-tax Act.(10) In this section, “record” shall include all records relating to any proceeding under this Act available at the time of examination by the Principal Commissioner or the Commissioner.",13
64,64,64,64,PRELIMINARY,"24. Revision of other orders. —(1)) The Principal Commissioner or the Commissioner may, eithersuo-motu or on an application made by the assessee, for the purposes of revising any order passed by an authority subordinate to him, other than an order to which section 23 applies, call for and examine all available records relating thereto.(2)) The Principal Commissioner or the Commissioner may pass an order, as he considers necessary,which is not prejudicial to the assessee.(3)) The power of the Principal Commissioner or the Commissioner under",14
65,65,65,65,PRELIMINARY,"sub-section ( 2)) to revise an order shall not extend to such order—(a)) against which an appeal has not been filed but the time for filing an appeal before the Commissioner (Appeals) has not expired;(b)) against which an appeal is pending before the Commissioner (Appeals); or(c)) which has been considered and decided in any appeal.(4)) The asses see shall make the application for revision of any order referred to in sub-section ( 1)),within aperiod of one year from the date on which the order sought to be revised was communicated tohim, or the date",14
66,66,66,66,PRELIMINARY,"on which he otherwise came to know of it, whichever is earlier.(5)) The Principal Commissioner or the Commissioner may, if he is satisfied that the asses see was prevented by sufficient cause from making the application within the period of one year, admit an application made after the expiry of one year but before expiry of two years from the date referred to insub-section ( 4)).(6)) Every application by an asses see for revision under this section shall be accompanied by such fees as may be prescribed.(7)) No order under sub-section ( 2)) shall be",14
67,67,67,67,PRELIMINARY,"made after the expiry of—(a)) aperiod of one year from the end of the financial year in which an application is made by theassessee under sub-section ( 4)); or(b)) aperiod of one year from the date of the order sought to be revised, if the order is revisedsuo-motu by the Commissioner.(8)) In computing the period of limitation under sub-section ( 7)), the following shall not be included,namely:—(a)) the time taken in giving an opportunity to the asses see to be reheard under section 7;; or15 (b)) any period during which any proceeding under this",14
68,68,68,68,PRELIMINARY,"section is stayed by an order or injunction of any court.(9)) An order by the Principal Commissioner or the Commissioner declining to interfere shall, for the purposes of this section, be deemed not to be an order prejudicial to the assessee.",14
69,69,69,69,PRELIMINARY,"25. Tax to be paid pending appeal. —Notwithstanding any appeal preferred to the High Court or the Supreme Court, the tax shall be paid in accordance with the assessment made under this Act.",15
70,70,70,70,PRELIMINARY,"26. Execution of order for costs awarded by Supreme Court. —The High Court may, on petition made for the execution of the order in respect of the costs awarded by the Supreme Court, transmit such order for execution to any court subordinate to it.",15
71,71,71,71,PRELIMINARY,"27. Amendment of assessment on appeal. —Where as aresult of an appeal under section 15 or section 18, any change is made in the assessment of abody of individuals or an association of persons oran order for new assessment of abody of individuals or an association of persons is made, the Commissioner (Appeals) or the Appellate Tribunal, as the case may be, shall pass an order authorising the Assessing Officer either to amend the assessment made or make afresh assessment on any member of the body or association.",15
72,72,72,72,PRELIMINARY,"28. Exclusion of time taken for obtaining copy. —In computing the period of limitation prescribed for an appeal under this Act, the day on which the notice of the order was served upon the assesseewithout serving acopy of the order, the time taken for obtaining acopy of such order, shall be excluded.",15
73,73,73,73,PRELIMINARY,"29. Filing of appeal by tax authority. —(1)) The Board may, from time to time, issue orders,instructions or directions to other tax authorities, fixing such monetary limits as it may deem fit, for the purpose of regulating the filing of appeal by any tax authority under this Chapter.(2)) Where, in pursuance of the orders, instructions or directions issued under sub-section ( 1)), atax authority has not filed any appeal on any issue in the case of an asses see for any financial year, it shall not preclude such authority from filing an appeal on the",15
74,74,74,74,PRELIMINARY,"same issue in the case of—(a)) the same asses see for any other financial year; or(b)) any other asses see for the same or any other financial year.(3)) Notwithstanding that no appeal has been filed by atax authority pursuant to the orders or instructions or directions issued under sub-section ( 1)), it shall not be lawful for an assessee, being apart yin any appeal, to contend that the tax authority has acquiesced in the decision on the disputed issue by not filing an appeal in any case.(4)) The Appellate Tribunal, hearing such appeal, shall have",15
75,75,75,75,PRELIMINARY,"regard to the orders, instructions or directions issued under sub-section ( 1)) and the circumstances under which such appeal was filed or not filed in respect of any case.(5)) Every order, instruction or direction which has been issued by the Board fixing monetary limits for filing an appeal shall be deemed to have been issued under sub-section ( 1)) and the provisions ofsub-sections ( 2)), (3)) and ( 4)) shall apply accordingly.",15
76,76,76,76,PRELIMINARY,"30. Recovery of tax dues by Assessing Officer. —(1)) Any amount specified as payable in anotice of demand under section 13 shall be paid within aperiod of thirty days of the service of the notice, to the credit of the Central Government in such manner as may be prescribed.(2)) Where the Assessing Officer has any reason to believe that it will be detrimental to the interests ofrevenue, if the period of thirty days referred to in sub-section ( 1)) is allowed, he may, with the previous approval of the Joint Commissioner, reduce such period as he",15
